"Achacollo"
"Acho"
"Achocalla"
"Achokalla"
"Achu"
"Achuqalla"
"Achuta"
"Aduviri"
"Ajacopa"
"Ajata"
"Ajjakopa"
"Ajjata"
"Ajjnu"
"Ajno"
"Akharapi"
"Alanoca"
"Ali"
"Amaro"
"Amaru"
"Ancalle"
"Ancalli"
"Anco"
"Ancu"
"Ankalli"
"Anku"
"Apala"
"Apasa"
"Apaza"
"Apumayta"
"Aqarapi"
"Aquise"
"Arancaya"
"Arcani"
"Arkani"
"Aro"
"Aru"
"Arucutipa"
"Aruhuata"
"Arukipa"
"Arukutipa"
"Aruni"
"Aruquipa"
"Aruwata"
"Aruwiri"
"Arwata"
"Astaca"
"Astaka"
"Aucapoma"
"Awkhapuma"
"Awqapuma"
"Axaqupa"
"Axata"
"Axnu"
"Ayca"
"Ayka"
"Aykisi"
"Ayquisi"
"Bedoya"
"Cachi"
"Cachicatari"
"Cahuana"
"Cahuaya"
"Calahumana"
"Calani"
"Calapari"
"Callari"
"Calle"
"Callisaya"
"Callo"
"Canasa"
"Canaviri"
"Canllahua"
"Canllawa"
"Canqui"
"Canquichoke"
"Canquichoque"
"Cantuta"
"Carani"
"Cari"
"Catari"
"Catunta"
"Cauna"
"Cawna"
"Chachajake"
"Chachajaqi"
"Chachajaque"
"Chajolla"
"Chakolla"
"Challapa"
"Challco"
"Challko"
"Challqu"
"Chambi"
"Chambilla"
"Chambivillca"
"Champi"
"Champilla"
"Champiwillca"
"Champiwillka"
"Chana"
"Chanaco"
"Chanacu"
"Chanaku"
"Chaqulla"
"Charca"
"Charka"
"Chaski"
"Chasqui"
"Chiara"
"Chino"
"Chinu"
"Chipana"
"Chiuchi"
"Chiwchi"
"Chiyara"
"Choke"
"Chokechampi"
"Chokemamani"
"Chokethajjsi"
"Chokewanca"
"Chokewillca"
"Choque"
"Choquechambi"
"Choquehuanca"
"Choquemamani"
"Choquetacsi"
"Choquevillca"
"Chukimiya"
"Chullqi"
"Chullqichampi"
"Chullqimamani"
