"Abacha"
"Abati"
"Abaye"
"Abayomi"
"Abba"
"Abdullah"
"Abdullahi"
"Abdulmutallab"
"Abedi"
"Abeni"
"Abiodun"
"Abiola"
"Abogunloko"
"Abubakar"
"Abuchi"
"Abugan"
"Abulu"
"Abwo"
"Achalu"
"Achebe"
"Achike"
"Acholonu"
"Achuzie"
"Acquah"
"Adadevoh"
"Adams"
"Adamu"
"Adebamowo"
"Adebayo"
"Adebiyi"
"Adebola"
"Adebowale"
"Adedeji"
"Adedibu"
"Adefarasin"
"Adefope"
"Adegbeingbe"
"Adegbite"
"Adegboye"
"Adegoke"
"Adejo"
"Adejobi"
"Adejuyigbe"
"Adekunde"
"Adekunle"
"Adelabu"
"Adelaja"
"Adelakun"
"Adelaye"
"Adeleke"
"Adelusimi"
"Adeluyi"
"Ademiluyi"
"Ademola"
"Adenaike"
"Adenihun"
"Adeniji"
"Adeniken"
"Adeniran"
"Adeniyi"
"Adenowo"
"Adenuga"
"Adeola"
"Adepoju"
"Aderemi"
"Adesanya"
"Adeseun"
"Adeshina"
"Adesiji"
"Adesoji"
"Adetona"
"Adeusi"
"Adewale"
"Adewunmi"
"Adeyanju"
"Adeyemi"
"Adeyeye"
"Adiele"
"Adigun"
"Adoke"
"Adokwe"
"Aduda"
"Afakirya"
"Afikuyomi"
"Afolabi"
"Afolahan"
"Afolayan"
"Afonja"
"Aga"
"Agba"
"Agbaje"
"Agbakoba"
"Agbebaku"
"Agbebi"
"Agbo"
"Agboneni"
"Agbonsevbafe"
"Agboyi"
"Aghahowa"
"Aghatise"
"Aghoghovbia"
"Agooba"
"Agoye"
"Agu"
"Aguda"
"Agunbiade"
"Aguogoke"
"Agwuocha"
"Ahman"
"Ahmed"
"Ahunanya"
"Aigimoukhuede"
"Aikhionbare"
"Aikhomu"
"Aileru"
"Aiyegbeni"
"Aiyenugba"
"Ajagun"
"Ajanwachukwu"
"Ajao"
"Ajasoro"
"Ajayi"
"Ajibade"
"Ajibola"
"Ajiborisha"
"Ajikawo"
"Ajilore"
"Ajimobi"
"Ajobena"
"Ajose"
"Ajudua"
"Ajulo"
"Ajumogobia"
"Ajunwa"
"Ajuru"
"Ajuwa"
"Akabueze"
"Akabusi"
"Akahan"
"Akande"
"Akanji"
"Akarandut"
"Akaruye"
"Ake"
"Akeredolu"
"Akerele"
"Akhigbe"
"Akide"
"Akiga"
"Akika"
"Akilu"
"Akinbiye"
"Akindele"
"Akinfenwa"
"Akinjide"
"Akinkunmi"
"Akinlade"
"Akinmunde"
"Akinnifesi"
"Akinola"
"Akinremi"
"Akinrinade"
"Akinsehinde"
"Akinsiku"
"Akintola"
"Akintonde"
"Akintoye"
"Akinwande"
"Akinyede"
"Akinyele"
"Akinyemi"
"Akiode"
"Akiwumi"
"Akonobi"
"Akpabio"
"Akpala"
"Akpan"
"Akpososo"
"Akpovi"
"Aku"
"Akubeze"
"Akuchie"
"Akume"
"Akunyili"
"Akwashiki"
"Akwu"
"Alabi"
"Alade"
"Aladefa"
"Alahbi"
"Alake"
"Alaoakala"
"Albert"
"Alegbe"
"Alele"
"Alfa"
"Ali"
"Alimi"
"Aliu"
"Aliyu"
"Alkali"
"Alli"
"Alooma"
"Aloso"
"Alozie"
"Aluka"
"Aluko"
"Aluma"
"Amachree"
"Amadi"
"Amadiume"
"Amaefule"
"Amalaha"
"Amata"
"Ambrose"
"Ameh"
"Ameobi"
"Amike"
"Amin"
"Amina"
"Aminu"
"Amkpa"
"Amodu"
"Amokachi"
"Amoo"
"Amosun"
"Amueke"
"Amuneke"
"Amusan"
"Anaba"
"Anaja"
"Andeh"
"Aneke"
"Anenih"
"Aniakor"
"Aniche"
"Aniebo"
"Anifowoshe"
"Anka"
"Anosike"
"Anubi"
"Anyanwu"
"Anyaoku"
"Anyiam"
"Anyora"
"Apam"
"Apiafi"
"Apochi"
"Aradeon"
"Ararume"
"Arase"
"Archibong"
"Arinze"
"Arise"
"Ariweriyai"
"Arokoyo"
"Aromire"
"Aruna"
"Ashafa"
"Ashiru"
"Asiegbo"
"Asika"
"Asmau"
"Asonze"
"Asumnu"
"Asuquo"
"Atatalo"
"Atede"
"Atere"
"Atorudibo"
"Atta"
"Attah"
"Atulewa"
"Atuma"
"Audu"
"Awazie"
"Awe"
"Awojobi"
"Awolowo"
"Awosola"
"Ayeni"
"Ayinla"
"Ayo"
"Ayodele"
"Ayorinde"
"Azeez"
"Azikiwe"
"Azikwe"
"Azuonye"
"Azutambata"
"Babagida"
"Babajaro"
"Babalade"
"Babalakin"
"Babalola"
"Babangida"
"Babatunde"
"Babayaro"
"Babreyaro"
"Babyface"
"Bada"
"Badeh"
"Badmus"
"Bagudu"
"Baise"
"Bajah"
"Bajulaiye"
"Bakare"
"Bako"
"Bala"
"Balewa"
"Bali"
"Balogun"
"Bamalli"
"Bamigboye"
"Bandele"
"Banjo"
"Bankole"
"Baraguina"
"Barata"
"Barda"
"Barighaamange"
"Barka"
"Baruwa"
"Bassey"
"Bawa"
"Bazighe"
"Bazuaye"
"Beete"
"Begho"
"Bell"
"Bello"
"Belloosagie"
"Benjamin"
"Benson"
"Bethel"
"Biamila"
"Binabo"
"Biobaku"
"Bird"
"Birninkudu"
"Bissong"
"Bola"
"Bolaji"
"Bolum"
"Bosso"
"Botmang"
"Bozimo"
"Brann"
"Brigidi"
"Brown"
"Buhari"
"Bunu"
"Bura"
"Buraimoh"
"Burja"
"Burna"
"Bwacha"
"Calil"
"Carr"
"Celestine"
"Chamah"
"Charles"
"Chibuike"
"Chidozie"
"Chiedozie"
"Chiejine"
"Chikelu"
"Chikwe"
"Chikwelu"
"Chimezie"
"Chinasa"
"Chinedu"
"Chiom"
"Choji"
"Chrisantus"
"Christopher"
"Chukunyere"
"Chukwu"
"Chukwudi"
"Chukwuemeka"
"Chukwuma"
"Chukwumerije"
"Chukwunyelu"
"Chukwura"
"Ciroma"
"Cooreman"
"Dabiri"
"Dada"
"Dagunduro"
"Dahiru"
"Dako"
"Daku"
"Daniel"
"Danmusa"
"Daramola"
"Datong"
"Datoru"
"Datti"
"Daukoru"
"Daura"
"Dawodu"
"Dayo"
"Dbanj"
"Dede"
"Dele"
"Denby"
"Deniran"
"Dibia"
"Dickson"
"Diffa"
"Dike"
"Dikeh"
"Dikko"
"Dilomprizulike"
"Diori"
"Disu"
"Doda"
"Dodoo"
"Dokiwari"
"Dokpesi"
"Doma"
"Dombraye"
"Dooyum"
"Dosou"
"Dosumu"
"Dosunmu"
"Duba"
"Duke"
"Dukku"
"Durodola"
"Durojaiye"
"Dyegh"
"Ebagua"
"Ebi"
"Ebiede"
"Ebinipere"
"Eboagwu"
"Eboigbe"
"Ebor"
"Ebute"
"Echeruo"
"Echezona"
"Ecoma"
"Ede"
"Edeh"
"Edem"
"Edet"
"Edmond"
"Edoheart"
"Edomwonyi"
"Efevberha"
"Effiom"
"Effiong"
"Effoduh"
"Egbe"
"Egbedi"
"Egbele"
"Egbo"
"Egbunike"
"Egemonye"
"Egerega"
"Eghagha"
"Egharevba"
"Eguavoen"
"Egwero"
"Egwim"
"Egwu"
"Egwuekwe"
"Ehinlanwo"
"Ehiosun"
"Ehwareme"
"Ejindu"
"Ejiofor"
"Ejiro"
"Ejoor"
"Ekaette"
"Ekah"
"Ekandem"
"Ekezie"
"Ekhosuehi"
"Ekoku"
"Ekpe"
"Ekpeyong"
"Ekpo"
"Ekpoki"
"Ekpotu"
"Ekpuk"
"Ekpukhon"
"Ekubia"
"Ekubo"
"Ekwensi"
"Ekwueme"
"Elahor"
"Elderson"
"Elechi"
"Elegbede"
"Elemosho"
"Elias"
"Eljibril"
"Elue"
"Elumelu"
"Emafo"
"Emeagwali"
"Emecheta"
"Emedolu"
"Emefiele"
"Emein"
"Emelieze"
"Emenalo"
"Emenike"
"Emigo"
"Emmanuel"
"Emordi"
"Emuejeraye"
"Enaharo"
"Eneja"
"Eneji"
"Eneramo"
"Envoh"
"Enyeama"
"Enyiazu"
"Enzinwa"
"Erediauwa"
"Eregbu"
"Erese"
"Erhenede"
"Eriba"
"Erinle"
"Erogbogbo"
"Esan"
"Esealuka"
"Esehagu"
"Eseme"
"Esieme"
"Esin"
"Esiti"
"Essien"
"Esuene"
"Etafia"
"Eteimo"
"Etiaba"
"Etiebet"
"Euba"
"Euifowoju"
"Ewang"
"Eze"
"Ezeh"
"Ezeife"
"Ezeifekaibeya"
"Ezeikpe"
"Ezeji"
"Ezekiel"
"Ezeli"
"Ezenwa"
"Ezenwaka"
"Ezeonu"
"Ezeugo"
"Ezimora"
"Ezinwa"
"Eziyodawe"
"Ezukam"
"Ezulike"
"Ezuruonye"
"Fabunmi"
"Fadahunsi"
"Fafunwa"
"Fajinmi"
"Fakeye"
"Falae"
"Falola"
"Fanikayode"
"Faruk"
"Fasanya"
"Fasehun"
"Fashanu"
"Fatai"
"Fawehinmi"
"Fayose"
"Feghabo"
"Fidelis"
"Flatari"
"Fodio"
"Folarin"
"Folawiyo"
"Fregene"
"Friday"
"Fulani"
"Fullerton"
"Furo"
"Gada"
"Gadanya"
"Gadzama"
"Gaha"
"Gana"
"Ganiyu"
"Garba"
"Garo"
"Garuba"
"Gassol"
"Gaya"
"Gazi"
"Gbenga"
"Gberu"
"Gee"
"George"
"Gideon"
"Girei"
"Giwa"
"Gobir"
"Godday"
"Gogwim"
"Goje"
"Goodluck"
"Gowon"
"Grillo"
"Group"
"Guda"
"Gumba"
"Gumut"
"Guobadia"
"Gusau"
"Gwarzo"
"Gyasi"
"Habe"
"Habib"
"Harry"
"Haruna"
"Hashidu"
"Hassan"
"Henshaw"
"Henty"
"Hussaini"
"Ibe"
"Ibeagha"
"Ibeh"
"Ibekwe"
"Ibenegbu"
"Ibeto"
"Ibiama"
"Ibiniisei"
"Ibok"
"Ibrahim"
"Ibrahimimam"
"Idahor"
"Idehen"
"Ideye"
"Idiagbon"
"Idiata"
"Idigbe"
"Idoko"
"Idowu"
"Ifeajuna"
"Ifejiagwa"
"Ifere"
"Igbeke"
"Igbinadolor"
"Igbinedion"
