"Ablam"
"Abrera"
"Acfalle"
"Achaigua"
"Achoga"
"Acosta"
"Acquiningoc"
"Ada"
"Adamos"
"Adams"
"Adriano"
"Afague"
"Afaisen"
"Affleje"
"Aflague"
"Aflaje"
"Afleje"
"Aflleje"
"Aguajlo"
"Agualo"
"Aguero"
"Agui"
"Aguigui"
"Aguilar"
"Aguiningoc"
"Agulto"
"Aguon"
"Agustin"
"Ahlam"
"Alague"
"Alcantara"
"Alecto"
"Alfaye"
"Alicaya"
"Alicto"
"Alieto"
"Alig"
"Alvarez"
"Alverez"
"Alves"
"Anderson"
"Angcoco"
"Angel"
"Angeles"
"Anglim"
"Angoco"
"Apu"
"Apuron"
"Aquinengoc"
"Aquinengocc"
"Aquinigoc"
"Aquiningco"
"Aquiningnoc"
"Aquiningoc"
"Aquiningoco"
"Aquino"
"Aquinongco"
"Aquinongoc"
"Arceo"
"Arriola"
"Arriols"
"Artero"
"Asano"
"Asanoma"
"Asanuma"
"Asonna"
"Asuncion"
"Atalig"
"Atao"
"Atau"
"Atdauna"
"Atiogue"
"Atoigue"
"Auza"
"Axelrod"
"Babauta"
"Babuta"
"Bae"
"Baker"
"Balajadia"
"Baldoviso"
"Baleto"
"Ballendorf"
"Bamba"
"Bantista"
"Barbee"
"Barbour"
"Barcelona"
"Barcinas"
"Barnelona"
"Barrett"
"Bartle"
"Bartolome"
"Basa"
"Baubau"
"Bautista"
"Bayona"
"Baza"
"Beck"
"Benabente"
"Benavente"
"Benevente"
"Benito"
"Bergquest"
"Bergquist"
"Berkeley"
"Bernado"
"Bernardo"
"Bitanga"
"Blain"
"Blanco"
"Blas"
"Blaz"
"Bloedel"
"Bodestin"
"Bodestiny"
"Boja"
"Bondshu"
"Bontugan"
"Bontuzan"
"Boothby"
"Bordallo"
"Bordshu"
"Borja"
"Briggs"
"Brocka"
"Brown"
"Bukikosa"
"Bukukosa"
"Burden"
"Burr"
"Bushold"
"Butler"
"Cabrea"
"Cabrera"
"Calvo"
"Camacho"
"Cambado"
"Cambao"
"Campo"
"Campos"
"Candaso"
"Candelaria"
"Carbullida"
"Carbullido"
"Cardenas"
"Cardinas"
"Carls"
"Carvullido"
"Castro"
"Cauz"
"Celis"
"Cepeda"
"Cerano"
"Certeza"
"Chaco"
"Champaco"
"Champuaco"
"Chance"
"Charafauros"
"Charfaoros"
"Charfauros"
"Charfaurus"
"Chargaulaf"
"Chargualaf"
"Charguane"
"Charguilla"
"Chargulaf"
"Charsagua"
"Chataan"
"Chatguani"
"Chatguiya"
"Chatsaga"
"Chattungu"
"Chaupaaca"
"Chaupaaco"
"Cheguina"
"Chiboc"
"Chiguina"
"Chin"
"Chiu"
"Choguadoc"
"Chopaco"
"Chuapaco"
"Chubb"
"Cleofas"
"Clifton"
"Cobb"
"Cohen"
"Colner"
"Combado"
"Concepcio"
"Concepcion"
"Constenoble"
"Contreras"
"Cook"
"Cooke"
"Corpus"
"Cortes"
"Costenobel"
"Cox"
"Craven"
"Crisobal"
"Crisosomo"
"Crisosotmo"
"Crisosotomo"
"Crisostomo"
"Cristobal"
"Crossley"
"Crusar"
"Cruz"
"Cruzal"
"Culbert"
"Cumbado"
"Cunliffe"
"Curry"
"Curtis"
"Custino"
"Dahme"
"Daly"
"Damian"
"Davis"
"Dawson"
"Deggracia"
"Degracia"
"Deigo"
"Dejima"
"Deleon"
"Delgado"
"Demapan"
"Deogracia"
"Desa"
"Deza"
"Diago"
"Dias"
"Diaz"
"Dibera"
"Didasco"
"Diego"
"Dimapan"
"Din"
"Diotengco"
"Diotiengco"
"Divera"
"Dreanan"
"Drebber"
"Duanas"
"Duarte"
"Duena"
"Duenas"
"Duenes"
"Dumanal"
"Dungca"
"Dunn"
"Durham"
"Dydasco"
"Eclavea"
"Edward"
"Edwards"
"Eguiguan"
"Eichler"
"Elatico"
"Elliot"
"Elliott"
"Encangco"
"English"
"Espaldon"
"Espinosa"
"Espiritusanto"
"Estaban"
"Estaquio"
"Esteban"
"Eulogio"
"Eustaquio"
"Evangelista"
"Evans"
"Evaristo"
"Ezizaki"
"Fabian"
"Fahalang"
"Fancisco"
"Farfan"
"Farrell"
"Fatangis"
"Fausto"
"Fegurgur"
"Feja"
"Fejaran"
"Fejarang"
"Fejeran"
"Fejerang"
"Fenn"
"Fergurger"
"Fergurgur"
"Fernandez"
"Ferrer"
"Finona"
"Fiona"
"Fitial"
"Flores"
"Florez"
"Fox"
"Fraga"
"Francisco"
"Franicsco"
"Franquez"
"Fugikawa"
"Fujikawa"
"Gadao"
"Gadia"
"Gale"
"Gamboa"
"Gambua"
"Gandeza"
"Garcia"
"Garrido"
"Garrison"
"Gaulafna"
"Gay"
"Gebhard"
"Geertsen"
"Gehilu"
"George"
"Gofigan"
"Goflachi"
"Goflaje"
"Gofsaina"
"Goftalu"
"Gogo"
"Gogue"
"Gogui"
"Gomez"
"Gonzalo"
"Gotienco"
"Gracia"
"Gray"
"Green"
"Grey"
"Guailayi"
"Guamtaotao"
"Guerrero"
"Guervara"
"Guevara"
"Guevarra"
"Guiterrez"
"Gumabon"
"Gumataotao"
"Gumataoto"
"Gumataotoa"
"Gutierez"
"Gutierres"
"Gutierrez"
"Guzman"
"Gzum"
"Hale"
"Hamamoto"
"Hamrick"
"Haniu"
"Hannah"
"Hanum"
"Hara"
"Harris"
"Hart"
"Hatoba"
"Hattig"
"Hayden"
"Hendrix"
"Hennicker"
"Hennickey"
"Henriques"
"Hernandes"
"Hernandez"
"Herrera"
"Herrero"
"Hines"
"Hinez"
"Hirayama"
"Ho"
"Hokog"
"Hokuk"
"Holly"
"Holmes"
"Honglee"
"Hongyee"
"Honyyee"
"Hornbostel"
"Howard"
"Hudson"
"Hughes"
"Hurao"
"Ibanes"
"Ibanez"
"Ibasco"
"Ichehara"
"Ichihara"
"Iglesias"
"Ignacio"
"Imaisumi"
"Imaizumi"
"Imbuluzqueta"
"Inayik"
"Inazumi"
"Indalecio"
"Ines"
"Inez"
"Inos"
"Inosencio"
"Inouye"
"Inquillo"
"Iriarte"
"Irwin"
"Isezaki"
"Ishasaki"
"Ishizaki"
"Ito"
"Iturzaeta"
"Iwatsu"
"Jackson"
"James"
"Javier"
"Jaye"
"Jiroso"
"Kamminga"
"Kan"
"Kanaga"
"Kanagaw"
"Kanagawa"
"Kasem"
"Kechocho"
"Kefana"
"Kegacha"
"Kekanu"
"Kenaan"
"Kepoksai"
"Kepuha"
"Ketahgui"
"Ketaka"
"Ketalu"
"Ketugua"
"Kichi"
"Kineni"
"King"
"Kitaro"
"Knapp"
"Komiyama"
"Konshita"
"Kranz"
"Kromeburg"
"Kumiyama"
"Lagua"
"Laguana"
"Laines"
"Lajo"
"Lane"
"Latap"
"Lawrence"
"Lazaro"
"Leddy"
"Leggett"
"Leon"
"Lewis"
"Ley"
"Lima"
"Limtaco"
"Limtiaco"
"Lizama"
"Logan"
"Lorenzo"
"Losero"
"Losongco"
"Losongeo"
"Lucero"
"Lujan"
"Lusongco"
"Lusongeo"
"Maanao"
"Maanau"
"Maasi"
"Mabayag"
"Macias"
"Madali"
"Mafak"
"Mafata"
"Mafatahgul"
"Mafnas"
"Maguado"
"Maguadoc"
"Maguadog"
"Maina"
"Maiut"
"Makino"
"Maktus"
"Malcolm"
"Malijan"
"Maluwelmeng"
"Mamaisa"
"Manaiani"
"Manaitai"
"Manajane"
"Manalisay"
"Manglona"
"Manibusan"
"Manley"
"Manoz"
"Manpagat"
"Mansapit"
"Mantanane"
"Mantanona"
"Marcelo"
"Mariana"
"Mariano"
"Marion"
"Maritinez"
"Martinez"
"Masa"
"Masangan"
"Masga"
"Masias"
"Mason"
"Mata"
"Matanane"
"Matangsi"
"Matanona"
"Matapang"
"Mataya"
"Mateo"
"Materne"
"Matias"
"Matkin"
"Matsumaga"
"Matsumiya"
"Matsunaga"
"Matuna"
"Maulekna"
"Mayhew"
"Mayo"
"Mayor"
"Mcdonald"
"Mckay"
"Mckinney"
"Megofna"
"Mehgai"
"Meloso"
"Mendiola"
"Meno"
"Merfalen"
"Mesa"
"Metcalf"
"Mia"
"Migofna"
"Miller"
"Millinchamp"
"Miner"
"Montales"
"Montufar"
"Mori"
"Morita"
"Moses"
"Moylan"
"Muan"
"Muna"
"Munos"
"Munoz"
"Muroi"
"Murphree"
"Naayau"
"Naburn"
"Naderson"
"Nagano"
"Nagauta"
"Nagle"
"Naguata"
"Nakamora"
"Nalahu"
"Namasi"
"Namauleg"
"Nangaota"
"Nangauta"
"Nanguata"
"Napuna"
"Naputi"
"Nauta"
"Navara"
"Navaro"
"Navarro"
"Nayauyau"
"Nededoc"
"Nededog"
"Nego"
"Nelson"
"Nenaisen"
"Nenaisin"
"Nenite"
"Niaisen"
"Nicklaw"
"Nicolas"
"Nilemlim"
"Ninaisen"
"Ninete"
"Notley"
"Ocampo"
"Ochai"
"Ofrecido"
"Ogo"
"Ojeda"
"Oka"
"Okada"
"Okazakai"
"Okazaki"
"Okeeffe"
"Okiyama"
"Olive"
"Onedera"
"Onodera"
"Ook"
"Ooka"
"Oroso"
"Oto"
"Owen"
"Pablo"
"Padilla"
"Paget"
"Palacio"
"Palacios"
"Palomo"
"Palting"
"Pangelinan"
"Pangilnan"
"Panglinan"
"Pascual"
"Pasqueal"
"Pat"
"Patricio"
"Patton"
"Paulino"
"Payne"
"Pedpahogo"
"Pelacani"
"Pellacani"
"Pentugan"
"Pereda"
"Peredo"
"Pereia"
"Pereira"
"Peres"
"Perez"
"Periera"
"Perkins"
"Perry"
"Petros"
"Petrus"
"Pflueger"
"Phlueger"
"Pickett"
"Pinaula"
"Pineda"
"Pinkley"
"Pnaglinan"
"Pocahigui"
"Pocaigue"
"Pocaigui"
"Poliarco"
"Pongco"
"Portusach"
"Poshepny"
"Pretrus"
"Probst"
"Pualino"
"Punzalan"
"Quan"
"Quande"
"Quenga"
"Quicho"
"Quichocho"
"Quichoco"
"Quidachai"
"Quidachay"
"Quidagua"
"Quidugua"
"Quifunas"
"Quinata"
"Quinene"
"Quinine"
"Quintanilla"
"Quintano"
"Quintanoc"
"Quitanilla"
"Quitano"
"Quitanoc"
"Quitaro"
"Quitonguica"
"Quitonguico"
"Quitonguieo"
"Quitugua"
"Quitunguico"
"Rabago"
"Raberto"
"Rabon"
"Rainon"
"Ramirez"
"Ramon"
"Ramos"
"Rapadas"
"Rapolla"
"Ray"
"Reed"
"Respecio"
"Respicio"
"Reves"
"Reyes"
"Rhodes"
"Rice"
"Rioera"
"Rios"
"Rivera"
"Roberto"
"Robinson"
"Rodrigues"
"Rodriguez"
"Rodriquez"
"Rojas"
"Rola"
"Romero"
"Ronquillo"
"Rosa"
"Rosario"
"Rose"
"Ross"
"Rousar"
"Rowley"
"Royos"
"Rrodrigez"
"Sablan"
"Sablas"
"Sacomani"
"Saguana"
"Sahagon"
"Sahagun"
"Saijama"
"Sakai"
"Sakakibara"
"Sakovich"
"Salas"
"Saloaga"
"Salucnamnam"
"Saluenamnam"
"Samai"
"Samailhi"
"Samora"
"San"
"Sanchea"
"Sanches"
"Sanchez"
"Sanderson"
"Sanoma"
"Sanos"
"Santiago"
"Santibanez"
"Santos"
"Sariano"
"Sarmiento"
"Saturnino"
"Saunders"
"Sawada"
"Sayama"
"Scharff"
"Schmitt"
"Schnabel"
"Schnable"
"Schulte"
"Schweizer"
"Seer"
"Seimiya"
"Seles"
"Semiya"
"Serna"
"Serrano"
"Sgambelluri"
"Sharf"
"Shearer"
"Sherzinger"
"Shimizu"
"Shimoda"
"Shimuda"
"Shinohara"
"Sholing"
"Siguenza"
"Sinamark"
"Siongco"
"Smith"
"Sococo"
"Socoro"
"Soleta"
"Soniga"
"Soriano"
"Sosoco"
"Spore"
"Sternberg"
"Stover"
"Suarez"
"Sudo"
"Sugiyama"
"Sumaculub"
"Sumaina"
"Suniga"
"Suriano"
"Susoco"
"Susuco"
"Susuica"
"Susuico"
"Suzuki"
"Taenao"
"Tagana"
"Taguacta"
"Taianao"
"Taiano"
"Taiasi"
"Taichigu"
"Taienao"
"Taifagas"
"Taifalak"
"Taifino"
"Taifinu"
"Taigachung"
"Taiguaha"
"Taigualu"
"Taihitu"
"Taiigi"
"Taiiyu"
"Taijeron"
"Taijiron"
"Taijito"
"Taikanu"
"Taimagung"
"Taimanglo"
"Taimanglu"
"Taimanlgo"
"Tainaan"
"Tainahung"
"Tainatongo"
"Taisagua"
"Taisague"
"Taisagui"
"Taisahyan"
"Taisakan"
"Taisipig"
"Taison"
"Taisungsung"
"Taitague"
"Taitainfong"
"Taitano"
"Taitinfong"
"Taitingfong"
"Tajalle"
"Tajalli"
"Tajelle"
"Takano"
"Talabera"
"Talavera"
"Talina"
"Tallaje"
"Tanaka"
"Tanona"
"Tantay"
"Tasina"
"Tass"
"Tatlumahi"
"Tatmahalang"
"Tatmaulik"
"Tatpagu"
"Tauacta"
"Tayama"
"Taylor"
"Techaira"
"Tedpahogo"
"Tedpajago"
"Tedpaogo"
"Tedtaotao"
"Tedtras"
"Tejada"
"Tejalle"
"Tello"
"Teltras"
"Tendo"
"Tenorio"
"Tepaogo"
"Terataotao"
"Terlaje"
"Terpahogo"
"Terpaogo"
"Terrado"
"Tertaotao"
"Thomas"
"Thomson"
"Tiguiongco"
"Tinateco"
"Tiquiengco"
"Tiquingco"
"Tiquionco"
"Tiquiongco"
"Tiquionoco"
"Tneorio"
"Tolentino"
"Topasna"
"Torre"
"Torres"
"Torros"
"Toves"
"Towner"
"Tuck"
"Tudela"
"Tuncap"
"Tungcap"
"Tydingco"
"Tyquiengco"
"Tyquionco"
"Uchida"
"Ufford"
"Ulloa"
"Umayan"
"Uncangco"
"Unchangco"
"Unciog"
"Underwood"
"Ungaca"
"Ungacta"
"Unisog"
"Unpingco"
"Unpingoco"
"Unsiog"
"Untalan"
"Uroso"
"Uson"
"Ustruck"
"Valenzuela"
"Vanmeter"
"Vasquez"
"Vaughan"
"Velasco"
"Venavente"
"Veneziano"
"Ventura"
"Verdeja"
"Vick"
"Villagomez"
"Warren"
"Watrous"
"Webb"
"Weisenberger"
"White"
"Winsor"
"Wisle"
"Wisley"
"Wisly"
"Wolford"
"Wong"
"Wonpat"
"Wusstig"
"Yamaguchi"
"Yamakuchi"
"Yamanaka"
"Yamasaki"
"Yamashita"
"Yasugoro"
"Ybasco"
"Yee"
"Ymamaskita"
"Ynfana"
"Ynguillo"
"Ynquillo"
"Yokoi"
"Yoshida"
"Zackhras"
"Zerteza"
