"Aaradyn"
"Abelmont"
"Adams"
"Adoorne"
"Adornes"
"Adriaens"
"Adriaenssens"
"Aelbrecht"
"Aercheem"
"Aernouds"
"Aernoudts"
"Aernouts"
"Aerync"
"Agast"
"Ageins"
"Alaedt"
"Alaerd"
"Alaerdt"
"Alinckbroodt"
"Altere"
"Amerycx"
"Ametiennes"
"Amyrex"
"Anchemant"
"Anchyn"
"Andelieu"
"Andries"
"Annaert"
"Apers"
"Aplicata"
"Appelmans"
"Aradyn"
"Arens"
"Armarin"
"Assouline"
"Audejans"
"Audelet"
"Audelie"
"Audenaerde"
"Audenaert"
"Auvrecx"
"Azebaert"
"Backeljauw"
"Baerdt"
"Baers"
"Baert"
"Baes"
"Baete"
"Baetens"
"Bake"
"Bakra"
"Bakupe"
"Balderick"
"Baldern"
"Ballegheer"
"Banckaert"
"Bant"
"Banwyns"
"Barbier"
"Barbieur"
"Barodt"
"Barradodt"
"Barst"
"Barthauw"
"Basche"
"Basciet"
"Bassee"
"Basseyen"
"Bassieu"
"Bastoen"
"Bate"
"Batens"
"Batte"
"Baude"
"Baus"
"Bauwens"
"Bavardt"
"Bavelaere"
"Bayens"
"Beck"
"Beekaert"
"Beeldens"
"Beerblock"
"Beernaerts"
"Behaghele"
"Beirnaert"
"Bekaert"
"Belinc"
"Belle"
"Benne"
"Berghart"
"Berlemont"
"Bernaerds"
"Bernaerdt"
"Bernaerts"
"Berout"
"Berthelmeeus"
"Berthelmeus"
"Berthil"
"Berye"
"Besoete"
"Bette"
"Bettens"
"Bettins"
"Beyts"
"Bezoete"
"Bierweart"
"Biestman"
"Bigghe"
"Biloo"
"Bisscop"
"Bitterheel"
"Blackaert"
"Bladelin"
"Blanckaert"
"Blancke"
"Blandeyn"
"Bleyenberg"
"Bloc"
"Blockeel"
"Blok"
"Blommaert"
"Blomme"
"Blommen"
"Bochout"
"Boel"
"Boele"
"Boenne"
"Boeyhaert"
"Boeykens"
"Bogaert"
"Bolengier"
"Bollaert"
"Bolleken"
"Bollekin"
"Bollens"
"Bolsens"
"Bolsius"
"Bolssens"
"Bonin"
"Bonnaert"
"Boodts"
"Boom"
"Boon"
"Boone"
"Bootkin"
"Bordoen"
"Bordon"
"Bordui"
"Borgnet"
"Borlet"
"Borre"
"Bortoen"
"Boryn"
"Bosman"
"Bossaert"
"Bossuuts"
"Bouden"
"Boudens"
"Boudins"
"Bouduwe"
"Boudylo"
"Bouillandt"
"Boulengier"
"Boureye"
"Bouts"
"Bouwyns"
"Boykin"
"Boys"
"Braem"
"Braemhaert"
"Bramaert"
"Brassaert"
"Brees"
"Bres"
"Brest"
"Breydel"
"Bril"
"Broeckaert"
"Bruggheman"
"Brumbout"
"Bruneel"
"Brunezune"
"Bruthyn"
"Bruunsteen"
"Bruunstyn"
"Bruylant"
"Brys"
"Brysoen"
"Bryssinck"
"Brysync"
"Buelens"
"Buelinck"
"Buelync"
"Bulteel"
"Bultinc"
"Bultinck"
"Bultine"
"Bultync"
"Bultynck"
"Burgave"
"Burghgraeve"
"Burin"
"Burm"
"Busyn"
"Busync"
"Butse"
"Buuck"
"Buys"
"Buytaert"
"Bybau"
"Byens"
"Byese"
"Bylbriy"
"Byns"
"Caerle"
"Caervoet"
"Calens"
"Callaert"
"Callens"
"Callewaert"
"Calomme"
"Cambien"
"Camerier"
"Camerman"
"Camphin"
"Camsin"
"Candy"
"Caneel"
"Cans"
"Cant"
"Cap"
"Cappaert"
"Cappal"
"Cappeart"
"Carette"
"Carle"
"Carpentier"
"Casembroot"
"Casteleyn"
"Cathoir"
"Caudelier"
"Caulier"
"Cauwe"
"Cauwekier"
"Cennis"
"Cennys"
"Cent"
"Charlandt"
"Chenyn"
"Chevalier"
"Chiens"
"Christiaens"
"Chuus"
"Claenwaert"
"Claes"
"Claessens"
"Claeszone"
"Claeus"
"Claeys"
"Clais"
"Claus"
"Clauwaert"
"Clays"
"Claysins"
"Clayssens"
"Clayssins"
"Clayszuene"
"Cleauwaert"
"Cleerboudt"
"Clessens"
"Cleyman"
"Cleys"
"Clijsters"
"Clinckaert"
"Cloet"
"Cloosterman"
"Cloppelin"
"Clyngherman"
"Cnockaert"
"Cockelenberg"
"Coelbrant"
"Coene"
"Cohl"
"Colaerdt"
"Cole"
"Colins"
"Collaerd"
"Coloron"
"Colpaert"
"Colsyn"
"Colve"
"Colyns"
"Coninx"
"Constant"
"Consteyn"
"Coocman"
"Coolman"
"Cools"
"Coolssens"
"Cooneput"
"Coopman"
"Coorman"
"Coorne"
"Coppenol"
"Coppens"
"Coppieters"
"Coppins"
"Cordemans"
"Cordier"
"Cornelis"
"Cornet"
"Cornillo"
"Cortebos"
"Cortemarck"
"Cortenbos"
"Cossyer"
"Cotenghys"
"Cotengyes"
"Cothenghys"
"Coucke"
"Cousteyn"
"Coustyn"
"Cousyn"
"Crabbe"
"Crane"
"Craye"
"Crekele"
"Crempe"
"Croes"
"Cromton"
"Crop"
"Croquet"
"Cryns"
"Crys"
"Daelman"
"Daenis"
"Daens"
"Dagua"
"Daman"
"Dammaert"
"Danche"
"Danckant"
"Daneels"
"Danneels"
"Danssaert"
"Danstins"
"Danwyck"
"Daucy"
"Dauwit"
"Davele"
"David"
"Davidt"
"Deaertchier"
"Debacker"
"Debackere"
"Debadts"
"Debaeckere"
"Debaelgy"
"Debaenst"
"Debaere"
"Debaertmaecker"
"Debaertmaeker"
"Debakker"
"Debakkere"
"Debalyu"
"Debarbier"
"Debeken"
"Deberge"
"Debeukelaer"
"Debeul"
"Debeule"
"Debeylyeu"
"Debilde"
"Debisschop"
"Deblide"
"Deblieck"
"Deblock"
"Deblyde"
"Deboc"
"Debock"
"Deboeck"
"Deboey"
"Debonnie"
"Debonnieres"
"Deboodt"
"Deboroy"
"Debot"
"Deboth"
"Debouduwe"
"Debouvere"
"Debouvereye"
"Debouverie"
"Debrabandere"
"Debrabant"
"Debrant"
"Debrauwer"
"Debrauwere"
"Debroc"
"Debroucke"
"Debrouckere"
"Debroukere"
"Debrouwer"
"Debrouwere"
"Debrueck"
"Debrune"
"Debruneruwe"
"Debrunet"
"Debruune"
"Debruuneruwe"
"Debruyn"
"Debruyne"
"Debryatere"
"Debryhalter"
"Debuck"
"Deburchgrave"
"Debusschere"
"Debut"
"Debyc"
"Decaet"
"Decaluwaert"
"Decaluwe"
"Decalve"
"Decamajore"
"Decaroundelet"
"Decasstichtere"
"Decastillo"
"Decat"
"Decauwer"
"Dechantranes"
"Dechattelet"
"Decherf"
"Deckers"
"Declark"
"Decleene"
"Decleir"
"Declerc"
"Declerck"
"Declercq"
"Declyevere"
"Decoc"
"Decock"
"Deconinc"
"Deconinck"
"Deconserere"
"Decook"
"Decort"
"Decoster"
"Decostere"
"Decots"
"Decraen"
"Decrekele"
"Decridts"
"Decriets"
"Decrits"
"Decroe"
"Decuelnare"
"Decuenick"
"Decuuper"
"Decuupere"
"Dedauw"
"Dedecker"
"Dedeeken"
"Dedene"
"Dedeynne"
"Dedeyster"
"Dedobbelaer"
"Dedonckere"
"Dedopper"
"Dedoppere"
"Dedouchs"
"Dedrooghe"
"Dedunder"
"Dedycker"
"Deel"
"Deems"
"Defelle"
"Defeuer"
"Defevere"
"Deflandre"
"Defomenteet"
"Defontaines"
"Deformanteet"
"Defosse"
"Defrancke"
"Defulre"
"Degaey"
"Deganeeles"
"Degaylges"
"Degeest"
"Deghele"
"Degheystere"
"Degloyere"
"Degols"
"Degooris"
"Degornay"
"Degrave"
"Degraveeles"
"Degrispere"
"Degroote"
"Degrootheere"
"Deguts"
"Deguynckere"
"Dehaene"
"Dehardere"
"Dehaynau"
"Deheere"
"Deheert"
"Dehert"
"Dehondt"
"Dehooge"
"Dehoorne"
"Dehoyere"
"Dehulstere"
"Dehuusheere"
"Dejaeck"
"Dejaeghere"
"Dejonghe"
"Dekaerne"
"Dekaysere"
"Dekeersmaeker"
"Dekempenaere"
"Dekempennaere"
"Dekenninck"
"Dekerf"
"Dekersghyeter"
"Dekever"
"Dekeysere"
"Dekeyzer"
"Deknut"
"Dekorte"
