"Ann"
"Bopha"
"Bui"
"Chak"
"Chan"
"Chandarith"
"Chann"
"Chap"
"Charny"
"Chau"
"Chea"
"Cheaxie"
"Chhan"
"Chhay"
"Chheang"
"Chhith"
"Chhoub"
"Chim"
"Choeun"
"Chuab"
"Chum"
"Dara"
"Daro"
"Duong"
"Em"
"Heang"
"Hem"
"Heng"
"Hengwang"
"Hong"
"Hourhua"
"Hout"
"Houy"
"Hoy"
"Huy"
"In"
"Keo"
"Khai"
"Khan"
"Khlot"
"Khoeun"
"Khouerth"
"Khoun"
"Khun"
"Khuth"
"Kim"
"Kong"
"Kuy"
"Le"
"Lim"
"Long"
"Lorn"
"Loun"
"Luu"
"Ly"
"Lyli"
"Ma"
"Mai"
"Mak"
"Mao"
"Meang"
"Meas"
"Meng"
"Moa"
"Mok"
"Mon"
"Moul"
"Muy"
"Nak"
"Nam"
"Nary"
"Neak"
"Ngo"
"Nguyen"
"Nimol"
"Noeun"
"Norodom"
"Noung"
"Nourn"
"Nout"
"Nuth"
"Oeun"
"On"
"Or"
"Ou"
"Ouk"
"Oum"
"Oung"
"Pang"
"Pen"
"Phal"
"Pham"
"Phann"
"Phaul"
"Phay"
"Pheng"
"Phon"
"Pichenda"
"Prak"
"Preap"
"Prum"
"Puth"
"Rangsey"
"Rath"
"Rithy"
"Rous"
"Saetern"
"Saeteurn"
"Saluk"
"Sam"
"Samouth"
"Samphan"
"San"
"Sang"
"Sao"
"Sarith"
"Sary"
"Say"
"Sayavong"
"Sen"
"Seng"
"Sim"
"Sin"
"Siv"
"Sivorn"
"Soch"
"Sok"
"Sokal"
"Som"
"Somally"
"Sorm"
"Sovanna"
"Soy"
"Srey"
"Sum"
"Sun"
"Taing"
"Tang"
"Te"
"Thith"
"Thong"
"Thuy"
"Thy"
"Tim"
"Touch"
"Tran"
"Trinh"
"Tum"
"Ung"
"Unghuang"
"Uy"
"Van"
"Vanneth"
"Vichea"
"Voeum"
"Vy"
"Yorn"
"You"
