"Aslonova"
"Atoev"
"Atoeva"
"Ayni"
"Bahori"
"Bakhtari"
"Balkhi"
"Bukhoroi"
"Dzhunajdov"
"Dzhunajdova"
"Dzhuraev"
"Dzhuraeva"
"Husejnov"
"Husejnova"
"Ibrohimov"
"Ibrohimova"
"Karaev"
"Karaeva"
"Karimov"
"Karimova"
"Kenjaeva"
"Khalili"
"Khayyam"
"Khujandi"
"Khusraw"
"Kohzad"
"Kydbiddinov"
"Kydbiddinova"
"Lahouti"
"Makhkamov"
"Makhkamova"
"Mirshakar"
"Mokhtarzada"
"Nabiev"
"Nabieva"
"Nabiyev"
"Nabiyeva"
"Nachmiddinov"
"Nachmiddinova"
"Nazemi"
"Niyazov"
"Niyazova"
"Nuraliev"
"Nuralieva"
"Nuri"
"Rahim"
"Rahimov"
"Rahimova"
"Rahman"
"Rahmanov"
"Rahmanova"
"Rizoev"
"Rizoeva"
"Sajnykryddinov"
"Sajnykryddinova"
"Sangaliev"
"Sangalieva"
"Sharipov"
"Sharipova"
"Skolov"
"Skolova"
"Tavaraliev"
"Tavaralieva"
"Umarov"
"Umarova"
