"Aa"
"Aabel"
"Aaberg"
"Aabo"
"Aaby"
"Aadland"
"Aagaard"
"Aagard"
"Aagesen"
"Aaker"
"Aakre"
"Aakvik"
"Aaland"
"Aalberg"
"Aalvik"
"Aam"
"Aamodt"
"Aamot"
"Aandahl"
"Aandal"
"Aanensen"
"Aanenson"
"Aanerud"
"Aanes"
"Aanestad"
"Aanonsen"
"Aanstad"
"Aardal"
"Aarflot"
"Aarhus"
"Aarnes"
"Aaro"
"Aarrestad"
"Aarsand"
"Aarseth"
"Aarskog"
"Aarsland"
"Aarstad"
"Aarum"
"Aarvik"
"Aas"
"Aasberg"
"Aasbo"
"Aase"
"Aasebo"
"Aasen"
"Aaserud"
"Aaseth"
"Aasgaard"
"Aasheim"
"Aasland"
"Aaslund"
"Aass"
"Abbas"
"Abdi"
"Abdullah"
"Abdullahi"
"Abelsen"
"Abrahamsen"
"Adam"
"Adan"
"Aden"
"Adland"
"Adolfsen"
"Afzal"
"Aga"
"Agard"
"Agle"
"Aglen"
"Agnor"
"Agotnes"
"Ahlsen"
"Ahmad"
"Ahmadi"
"Ahmed"
"Aker"
"Akhtar"
"Akram"
"Akre"
"Aksdal"
"Akselsen"
"Aksnes"
"Albertsen"
"Albrigtsen"
"Alden"
"Aleksandersen"
"Alexandersen"
"Alfheim"
"Alfredsen"
"Alfsen"
"Algroy"
"Ali"
"Allum"
"Alm"
"Almaas"
"Almas"
"Alme"
"Almen"
"Almli"
"Alnas"
"Alnes"
"Alsaker"
"Alstad"
"Alsvik"
"Alvar"
"Alver"
"Alvestad"
"Alvheim"
"Amble"
"Amdahl"
"Amdal"
"Amdam"
"Amin"
"Amiri"
"Amlie"
"Amodt"
"Amundsen"
"Anda"
"Andal"
"Andersen"
"Anderson"
"Anderssen"
"Andersson"
"Andorsen"
"Andreassen"
"Andresen"
"Andvik"
"Anensen"
"Anestad"
"Anfinsen"
"Anfinson"
"Angell"
"Angelsen"
"Angeltveit"
"Angvik"
"Anker"
"Anthonsen"
"Anti"
"Antonsen"
"Anwar"
"Apeland"
"Arctander"
"Ardal"
"Arne"
"Arneberg"
"Arnes"
"Arnesen"
"Arnestad"
"Arnevik"
"Arnoy"
"Arntsen"
"Arntzen"
"Aronsen"
"Aros"
"Arseth"
"Arshad"
"Arvesen"
"Arvik"
"As"
"Asbjornsen"
"Asebo"
"Asen"
"Asghar"
"Asheim"
"Ashraf"
"Ask"
"Aske"
"Askeland"
"Asker"
"Askevold"
"Askildsen"
"Askim"
"Askvik"
"Aslaksen"
"Aslam"
"Asland"
"Asleson"
"Asp"
"Aspaas"
"Aspelund"
"Aspen"
"Aspenes"
"Asper"
"Asphaug"
"Asplund"
"Astrup"
"Auestad"
"Augestad"
"Aukland"
"Aulie"
"Aunan"
"Aune"
"Aurdal"
"Aure"
"Aurstad"
"Ausland"
"Austad"
"Austbo"
"Austnes"
"Austrheim"
"Axelsen"
"Axness"
"Aziz"
"Baardsen"
"Bach"
"Backe"
"Backer"
"Baglien"
"Bakk"
"Bakka"
"Bakkan"
"Bakke"
"Bakkehaug"
"Bakkejord"
"Bakkeli"
"Bakkelund"
"Bakken"
"Bakker"
"Bakkerud"
"Bakketun"
"Bakstad"
"Balke"
"Ballestad"
"Balstad"
"Baltzersen"
"Bang"
"Bardsen"
"Barheim"
"Barka"
"Barmen"
"Barsness"
"Barstad"
"Barth"
"Bartnes"
"Bashir"
"Bastiansen"
"Bauer"
"Bauge"
"Baumann"
"Baustad"
"Bavre"
"Bay"
"Bech"
"Beck"
"Becken"
"Becker"
"Begum"
"Beito"
"Bekkelund"
"Bekken"
"Bekkevold"
"Belgum"
"Bell"
"Belland"
"Belsvik"
"Bendiksen"
"Bendixen"
"Bengtsson"
"Benjaminsen"
"Benonisen"
"Bentsen"
"Bentson"
"Bentzen"
"Berdahl"
"Berdal"
"Berentsen"
"Berg"
"Bergan"
"Berge"
"Bergem"
"Bergene"
"Berger"
"Bergersen"
"Bergerud"
"Bergesen"
"Berget"
"Berggren"
"Bergh"
"Bergheim"
"Bergland"
