"Bant"
"Baynham"
"Baynton"
"Beavan"
"Beaven"
"Beddard"
"Beddoe"
"Beddoes"
"Beddow"
"Bedford"
"Bedow"
"Bedward"
"Bellis"
"Bennion"
"Benyon"
"Bethell"
"Bevan"
"Bevans"
"Bevens"
"Bevins"
"Beynon"
"Binnion"
"Binyon"
"Bithell"
"Blevin"
"Bleything"
"Bliven"
"Blood"
"Bloyd"
"Bowen"
"Breese"
"Breeze"
"Brice"
"Bryce"
"Bryn"
"Budd"
"Buel"
"Bunyan"
"Burnside"
"Burtis"
"Cadell"
"Cader"
"Cadogan"
"Cadwalader"
"Cadwallader"
"Cain"
"Call"
"Canon"
"Carew"
"Carne"
"Carnes"
"Cavan"
"Conway"
"Corse"
"Craddick"
"Craddock"
"Cradick"
"Cradock"
"Crandell"
"Crothers"
"Crowther"
"Dallas"
"Darwin"
"Daw"
"Dimock"
"Doty"
"Dowell"
"Dustin"
"Dymock"
"Eddowes"
"Eggleston"
"Erwin"
"Evans"
"Evanson"
"Eynon"
"Fennell"
"Fenton"
"Frost"
"Garth"
"Gibbon"
"Givens"
"Goff"
"Goffe"
"Gough"
"Gower"
"Greig"
"Griffin"
"Griffith"
"Griffiths"
"Guinee"
"Gwilliam"
"Gwillim"
"Gwinn"
"Gwyn"
"Gwynn"
"Gwynne"
"Hal"
"Hale"
"Hascall"
"Haskell"
"Hayle"
"Heaven"
"Heavens"
"Heron"
"Hoag"
"Hoe"
"Hone"
"Howel"
"Howell"
"Howells"
"Hurd"
"Ison"
"Ivers"
"Iversen"
"Iverson"
"Izen"
"Izon"
"Jeavons"
"Jevons"
"John"
"Justin"
"Kenyon"
"Kevan"
"Kevin"
"Kidwell"
"Ladd"
"Leavenworth"
"Livermore"
"Llewellyn"
"Lloyd"
"Loomis"
"Lusk"
"Maddock"
"Maddocks"
"Maddox"
"Maddux"
"Masten"
"Mather"
"Mcharg"
"Meredith"
"Metcalf"
"Meyler"
"Minturn"
"Morgan"
"Morris"
"Mostyn"
"Onion"
"Onions"
"Paisley"
"Parry"
"Pendrick"
"Pennant"
"Pennyman"
"Penry"
"Plevin"
"Plews"
"Plues"
"Powell"
"Powers"
"Preece"
"Prescot"
"Press"
"Price"
"Prichard"
"Prichett"
"Pritchard"
"Pritcher"
"Pritchett"
"Prosser"
"Protheroe"
"Quilliam"
"Rawley"
"Reece"
"Rees"
"Reese"
"Rhys"
"Rice"
"Ringgold"
"Rosser"
"Sayce"
"Seys"
"Siddons"
"Tandy"
"Tappan"
"Tew"
"Treharne"
"Treherne"
"Turcotte"
"Upjohn"
"Vaughan"
"Vaughn"
"Vennell"
"Vivian"
"Winn"
"Winne"
"Wynn"
"Wynne"
