"Abaid"
"Abdalahad"
"Abdalla"
"Abdallah"
"Abdoo"
"Abdu"
"Abdul"
"Abdulla"
"Abdullah"
"Abeksee"
"Abicair"
"Abikhair"
"Abilshair"
"Abishetan"
"Abood"
"Aboshalha"
"Abotomey"
"Abouchabki"
"Abouchabkis"
"Aboud"
"Abourizk"
"Abousamra"
"Aboushaker"
"Abouzaid"
"Abozaid"
"Abraham"
"Abud"
"Aburizk"
"Abuzaid"
"Achie"
"Ackery"
"Aidouh"
"Ajram"
"Alam"
"Allan"
"Andrews"
"Androus"
"Anthony"
"Antoni"
"Arab"
"Arem"
"Arida"
"Asher"
"Ashkar"
"Assad"
"Assaf"
"Assif"
"Asswood"
"Ataya"
"Atia"
"Atias"
"Aueb"
"Awon"
"Ayoub"
"Ayouls"
"Ayub"
"Azar"
"Azzi"
"Baccash"
"Baduy"
"Bakhash"
"Barakee"
"Barkett"
"Barrahet"
"Barraket"
"Barry"
"Basha"
"Basher"
"Bashir"
"Bastany"
"Batros"
"Batrouney"
"Baz"
"Beaakah"
"Bechara"
"Belros"
"Beroutty"
"Berri"
"Berry"
"Besharra"
"Beshewaitie"
"Betar"
"Betro"
"Betros"
"Bettar"
"Bicery"
"Bidwee"
"Birbara"
"Bishara"
"Bitar"
"Bittar"
"Boiarry"
"Bokeyar"
"Bolous"
"Bookallil"
"Bouckallil"
"Boukallil"
"Boulas"
"Bouramy"
"Bouvarry"
"Bowlas"
"Bracko"
"Bracks"
"Breme"
"Bremen"
"Brown"
"Buderwill"
"Burkitt"
"Cahill"
"Callil"
"Camoos"
"Canon"
"Carroll"
"Carter"
"Chahoud"
"Chedidi"
"Chidiac"
"Coorey"
"Coory"
"Corban"
"Correy"
"Corrie"
"Corry"
"Costa"
"Cramey"
"Crammey"
"Dadour"
"Dager"
"Dahdah"
"Daher"
"Daley"
"Dallah"
"Dan"
"Daniels"
"Darid"
"Datley"
"David"
"Debeck"
"Debo"
"Debs"
"Deeb"
"Deen"
"Deep"
"Deeps"
"Depper"
"Domeny"
"Don"
"Doumani"
"Doumany"
"Dowe"
"Eblin"
"Elashi"
"Elbadwi"
"Elbahri"
"Elbani"
"Eldibs"
"Elhessen"
"Elhussen"
"Elias"
"Elkhouri"
"Elkreiky"
"Elmaalouf"
"Elmouarkej"
"Elmoudaber"
"Elmoudawi"
"Essey"
"Essie"
"Fahda"
"Fahed"
"Fahy"
"Fakhry"
"Fara"
"Farah"
"Fardill"
"Farrah"
"Farres"
"Farris"
"Ferris"
"Filfle"
"Fisher"
"Flifly"
"Francis"
"Frayer"
"Fren"
"Fyad"
"Gabaly"
"Gad"
"Gaha"
"Gallaty"
"Gazal"
"Geagea"
"George"
"Ghandour"
"Ghazi"
"Gilles"
"Gregory"
"Habaka"
"Habayea"
"Habbaka"
"Habbib"
"Habeb"
"Habib"
"Habkouk"
"Hachem"
"Hackle"
"Haddad"
"Hadje"
"Hage"
"Haik"
"Hajjar"
"Haleemi"
"Halil"
"Hamade"
"Hamaty"
"Hamie"
"Hamieh"
"Hamiye"
"Hamra"
"Hanna"
"Hannah"
"Hanoush"
"Hansuns"
"Harb"
"Hariri"
"Harriri"
"Harwood"
"Hashi"
"Hassan"
"Hassen"
"Hassin"
"Hasson"
"Hayatt"
"Hayek"
"Heillway"
"Herbert"
"Hessen"
"Hessnie"
"Hillway"
"Holey"
"Hoomsy"
"Hossein"
"Hossen"
"Houssain"
"Howlet"
"Howley"
"Howlie"
"Howly"
"Hussein"
"Hyat"
"Hyatt"
"Jabbir"
"Jabbour"
"Jabbur"
"Jaboor"
"Jabour"
"Jabur"
"Jacob"
"Jaja"
"Jamal"
"Jermanus"
"John"
"Joseph"
"Kahla"
"Kairouz"
"Kandal"
"Karaboland"
"Karam"
"Kayrooz"
"Kenaan"
"Keyrouz"
"Khalil"
"Khallil"
"Khanna"
"Kheirallah"
"Khouri"
"Khoury"
"Khowley"
"Khyat"
"Khyatt"
"Knudsen"
"Koorey"
"Kuri"
"Kurri"
"Lahood"
"Lahoud"
"Lahout"
"Lahud"
"Loutaif"
"Maalouf"
"Maarouf"
"Maboob"
"Maboub"
"Mack"
"Maclouf"
"Maforige"
"Mafouge"
"Mahboub"
"Malak"
"Malek"
"Malick"
"Malley"
"Mallick"
"Mallouk"
"Malloy"
"Maloof"
"Malook"
"Malouf"
"Mansha"
"Mansour"
"Mansur"
"Maron"
"Maroon"
"Maroun"
"Marsh"
"Marsha"
"Masor"
"Masout"
"Masrood"
"Massard"
"Massoud"
"Matha"
"Matta"
"Mawter"
"Mazoud"
"Mcguire"
"Mcguise"
"Melham"
"Melick"
"Melik"
"Melkie"
"Mellick"
"Meree"
"Merhi"
"Michael"
"Mihboop"
"Mockbell"
"Monsour"
"Moona"
"Morad"
"Morris"
"Moses"
"Mourtada"
"Mousally"
"Mousawi"
"Mousers"
"Moussallem"
"Moussey"
"Mubba"
"Mulckey"
"Mulkie"
"Murr"
"Musk"
"Nacked"
"Nadar"
"Nader"
"Nadif"
"Nadiff"
"Nadift"
"Naggar"
"Nagger"
"Nagisim"
"Nahra"
"Najar"
"Najer"
"Najjar"
"Najor"
"Nakad"
"Naked"
"Namey"
"Namome"
"Nance"
"Naser"
"Nassar"
"Nassef"
"Nasser"
"Nassoor"
"Nassor"
"Negein"
"Nehme"
"Nejaim"
"Nesire"
"Nezain"
"Nicey"
"Nicholas"
"Nicolas"
"Nicoy"
"Nina"
"Noon"
"Norman"
"Nouhra"
"Nowfel"
"Peters"
"Petros"
"Pike"
"Racid"
"Rahal"
"Rahme"
"Raidi"
"Raidy"
"Raphael"
"Rashed"
"Rasheed"
"Rezek"
"Richards"
"Rizk"
"Rohanna"
"Rookas"
"Rookes"
"Roshed"
"Roufeil"
"Roukers"
"Saab"
"Saad"
"Saady"
"Saap"
"Saba"
"Sabba"
"Sabban"
"Sabra"
"Sackar"
"Sadi"
"Saffy"
"Sahadi"
"Saide"
"Saidey"
"Saleeba"
"Saleeby"
"Saleh"
"Saliba"
"Sarks"
"Sarout"
"Sarquis"
"Sarraff"
"Sarroff"
"Sassean"
"Sasseen"
"Sayegh"
"Scarf"
"Seid"
"Serhan"
"Shadi"
"Shadie"
"Shahadi"
"Shaia"
"Shakra"
"Shalala"
"Shalhoub"
"Shallala"
"Shallop"
"Shaloub"
"Shamie"
"Shamle"
"Shara"
"Shebbie"
"Shehadi"
"Sherwin"
"Shibe"
"Shible"
"Sileba"
"Simmon"
"Simon"
"Sissean"
"Skype"
"Sleiman"
"Sob"
"Sobb"
"Solah"
"Solh"
"Solomon"
"Stephens"
"Subban"
"Sweetten"
"Symond"
"Taffa"
"Taffaha"
"Tamer"
"Tanoos"
"Thomas"
"Tobey"
"Toby"
"Touma"
"Trad"
"Unis"
"Wahim"
"Waley"
"Webbey"
"Wehbe"
"Wehby"
"Welshel"
"Welsher"
"Wickham"
"Wiggins"
"Wilkins"
"Williams"
"Wilson"
"Workin"
"Yarad"
"Yared"
"Yassin"
"Yazbeck"
"Yazbek"
"Younes"
"Younis"
"Zaccour"
"Zacha"
"Zacka"
"Zaher"
"Zahleet"
"Zain"
"Zaloun"
"Zein"
"Zickby"
