"Abbas"
"Abdalla"
"Abdelaziz"
"Abdelghany"
"Abdelmalek"
"Abdullah"
"Abdulrahman"
"Adaweyah"
"Adel"
"Alafif"
"Alassel"
"Alawa"
"Alborhamy"
"Aleffendi"
"Alfanagry"
"Alfayed"
"Algahary"
"Algamal"
"Alhamuli"
"Alhaq"
"Alhudaybi"
"Alkamili"
"Alkholaie"
"Allam"
"Alluba"
"Almaraghi"
"Almasri"
"Alqamari"
"Alqasimi"
"Alsadat"
"Alshaykh"
"Aly"
"Amer"
"Amin"
"Amir"
"Antaki"
"Ashamallah"
"Atwah"
"Awad"
"Ayrout"
"Azer"
"Badawi"
"Badawy"
"Badr"
"Badrakhan"
"Barakat"
"Bassily"
"Bassiouney"
"Bassiouni"
"Batrawi"
"Camona"
"Chahine"
"Charobim"
"Ebeid"
"Eborolossy"
"Eddine"
"Elasabgi"
"Elattar"
"Elbatanouny"
"Elborolossy"
"Eldahab"
"Eldegheidy"
"Eldomiaty"
"Elfayoumi"
"Elgheriany"
"Elhaddad"
"Elhadidy"
"Elhindi"
"Elkadi"
"Elkedwany"
"Elkholy"
"Elmahdi"
"Elmanhaly"
"Elmesirri"
"Elnadi"
"Elsayed"
"Elsewedy"
"Eltayeb"
"Emara"
"Essam"
"Fahim"
"Fahmy"
"Fakhry"
"Fathy"
"Fawzi"
"Flaccus"
"Gamil"
"Garrana"
"George"
"Ghali"
"Ghandour"
"Ghoneim"
"Gohar"
"Greiss"
"Habachi"
"Habib"
"Hai"
"Hakki"
"Halim"
"Hamed"
"Hamza"
"Hassab"
"Hassan"
"Hatem"
"Hazem"
"Hegazi"
"Heikal"
"Henedi"
"Heshmat"
"Higazy"
"Hosni"
"Hussein"
"Iamam"
"Ibrahim"
"Ishak"
"Isidora"
"Ismael"
"Israel"
"Issawi"
"Janopoulo"
"Kamal"
"Kamel"
"Karim"
"Kassas"
"Katibi"
"Kazazian"
"Kazem"
"Kemsit"
"Khairat"
"Khaleel"
"Khalil"
"Khumarawayh"
"Mady"
"Mahe"
"Mahfouz"
"Mahmoud"
"Mamish"
"Mamoun"
"Mansour"
"Marsal"
"Marzouk"
"Medhat"
"Mostafa"
"Moussa"
"Mubarak"
"Nabih"
"Nagib"
"Naguib"
"Nasser"
"Rassul"
"Reis"
"Saad"
"Saadauri"
"Sabry"
"Salam"
"Salameh"
"Samy"
"Shabana"
"Shehata"
"Sindhom"
"Tamer"
"Tantawi"
"Tarek"
"Toghay"
"Tulun"
"Youssef"
"Zein"
