"Aaron"
"Abaffy"
"Abafy"
"Abel"
"Abeles"
"Abelova"
"Abelovic"
"Abraham"
"Abramovic"
"Abramovics"
"Abrinko"
"Abruta"
"Absolon"
"Achberger"
"Achim"
"Adalbert"
"Adam"
"Adama"
"Adamak"
"Adamcak"
"Adamcik"
"Adamcin"
"Adamco"
"Adamcsak"
"Adamcsik"
"Adamec"
"Adamecz"
"Adamek"
"Adamic"
"Adamica"
"Adamicek"
"Adamis"
"Adamjak"
"Adamkovic"
"Adamkovich"
"Adamok"
"Adamovic"
"Adamovich"
"Adams"
"Adamsko"
"Adamtso"
"Adamus"
"Adler"
"Admock"
"Adzima"
"Aftan"
"Agneta"
"Agosta"
"Ahler"
"Akszenyuk"
"Alb"
"Albert"
"Albertusiak"
"Albini"
"Albrecht"
"Albrechta"
"Aleksi"
"Alex"
"Alexander"
"Alexi"
"Alexik"
"Alexovic"
"Alexovits"
"Alexy"
"Aligny"
"Allas"
"Almas"
"Almash"
"Almasi"
"Almassy"
"Almasy"
"Alsio"
"Alt"
"Altani"
"Altany"
"Altanyi"
"Altman"
"Altznauer"
"Alyrso"
"Alznauer"
"Amant"
"Amberik"
"Ambra"
"Ambramovsky"
"Ambrasky"
"Ambrisko"
"Ambro"
"Ambrogovics"
"Ambros"
"Ambroz"
"Ambrozius"
"Ambrozy"
"Amrich"
"Amrogovic"
"Amzler"
"Anchak"
"Andal"
"Andel"
"Andera"
"Anderek"
"Andrachak"
"Andrajak"
"Andras"
"Andrascik"
"Andrasi"
"Andrasko"
"Andraso"
"Andrasova"
"Andrassy"
"Andrasy"
"Andre"
"Andrej"
"Andrejak"
"Andrejcak"
"Andrejcek"
"Andrejciuk"
"Andrejco"
"Andrejczuk"
"Andrejko"
"Andrejkovics"
"Andrejo"
"Andrejov"
"Andrejsin"
"Andrejtsik"
"Andreovszky"
"Andrevcik"
"Andricak"
"Andriechack"
"Andrij"
"Andrijcso"
"Andriscik"
"Andrisjko"
"Andriso"
"Andros"
"Andrsik"
"Andrushko"
"Andrzejzak"
"Anger"
"Angus"
"Anna"
"Anozlitsun"
"Antal"
"Antala"
"Antalak"
"Antalek"
"Antalov"
"Antalovci"
"Antalovic"
"Antas"
"Antel"
"Antl"
"Antol"
"Antolic"
"Antolich"
"Antolick"
"Antolik"
"Antolikc"
"Antoloci"
"Anton"
"Antoni"
"Antonic"
"Antonich"
"Antonik"
"Antos"
"Antosh"
"Antosiak"
"Antoska"
"Apihari"
"Arabinecz"
"Arbet"
"Arelt"
"Arendas"
"Aresta"
"Argaj"
"Aron"
"Artos"
"Arvai"
"Arvaj"
"Arvay"
"Astari"
"Astrab"
"Augustin"
"Augustincz"
"Augustine"
"Augustini"
"Augustiny"
"Babcanik"
"Babchak"
"Babchanik"
"Babej"
"Babey"
"Babiak"
"Babian"
"Babiar"
"Babic"
"Babick"
"Babics"
"Babik"
"Babin"
"Babincak"
"Babinchak"
"Babincsak"
"Babinec"
"Babinsky"
"Babinyak"
"Babjacok"
"Babjak"
"Babjakeva"
"Babjarcsik"
"Babka"
"Babon"
"Babony"
"Babtzun"
"Babulak"
"Baburek"
"Babusa"
"Babyak"
"Bac"
"Baca"
"Bacenko"
"Bacer"
"Bach"
"Bacha"
"Bachar"
"Bachisisin"
"Bachleda"
"Bachna"
"Bachorik"
"Bachotza"
"Bachura"
"Bacia"
"Bacigal"
"Bacik"
"Bacinsky"
"Bacisin"
"Backo"
"Backor"
"Backov"
"Backsor"
"Backus"
"Bacosina"
"Bacsa"
"Bacsi"
"Bacsik"
"Bacsinszky"
"Bacskai"
"Bacso"
"Bacsov"
"Bacsova"
"Bactomko"
"Baczurick"
"Badanich"
"Badek"
"Badermaierov"
"Badi"
"Badiar"
"Badida"
"Badik"
"Badin"
"Badinka"
"Badnarik"
"Bado"
"Badura"
"Badurik"
"Badzik"
"Baer"
"Baffi"
"Baffy"
"Bafia"
"Bagin"
"Baginy"
"Bahilda"
"Bahleda"
"Bahno"
"Bahrik"
"Baiczar"
"Baja"
"Bajcar"
"Bajcura"
"Bajnak"
"Bajova"
"Bajus"
"Bajusz"
"Bajuzsik"
"Bajzak"
"Bajzova"
"Bak"
"Baka"
"Bakajsa"
"Bakalar"
"Bakalyar"
"Bakic"
"Bakita"
"Bako"
"Bakos"
"Bakoss"
"Baksa"
"Bala"
"Balak"
"Balanda"
"Balandis"
"Balant"
"Balantanova"
"Balarinsky"
"Balas"
"Balashazy"
"Balasko"
"Balass"
"Balasyak"
"Balasz"
"Balaz"
"Balazik"
"Balaznik"
"Balazou"
"Balazovic"
"Balazs"
"Balbercak"
"Balcicsin"
"Balcik"
"Balcko"
"Balczier"
"Baldinus"
"Balej"
"Balejka"
"Balenchin"
"Balent"
"Balents"
"Balga"
"Balgavy"
"Balicky"
"Baliczky"
"Baligrocky"
"Balik"
"Balinsky"
"Balint"
"Balko"
"Balla"
"Ballas"
"Ballay"
"Ballek"
"Balluch"
"Ballum"
"Bally"
"Balo"
"Balochko"
"Balog"
"Baloga"
"Balogac"
"Balogh"
"Balosik"
"Balough"
"Balsaj"
"Balsan"
"Balshi"
"Balta"
"Baluch"
"Baluh"
"Baluha"
"Balun"
"Baly"
"Balya"
"Balyi"
"Balyko"
"Bambuch"
"Ban"
"Banachy"
"Banas"
"Banassko"
"Banda"
"Bandre"
"Bandula"
"Bandur"
"Bandura"
"Bandzak"
"Bandzej"
"Bandzuch"
"Baniarova"
"Banic"
"Banicar"
"Baniczky"
"Baniecki"
"Banik"
"Banjer"
"Banjik"
"Bankniw"
"Banko"
"Bankos"
"Bannar"
"Banoczi"
"Banovic"
"Banovsky"
"Bansky"
"Bantck"
"Banya"
"Banyas"
"Banyasczky"
"Banyasz"
"Banyik"
"Banyko"
"Bapka"
"Baralok"
"Baran"
"Baranaka"
"Barancho"
"Baranek"
"Baranezki"
"Baranik"
"Baranko"
"Baranovic"
"Baranowski"
"Barasko"
"Barat"
"Baratka"
"Barau"
"Barbarcik"
"Barbck"
"Barbora"
"Barboric"
"Barbus"
"Barbuscak"
"Barbuschak"
"Barbush"
"Barcovsky"
"Barcsak"
"Bardossy"
"Bardy"
"Bardzak"
"Barej"
"Bareniak"
"Baricek"
"Baricko"
"Barila"
"Barilik"
"Barilka"
"Barilla"
"Barillo"
"Barina"
"Barinek"
"Barinko"
"Barka"
"Barkocy"
"Barlacsy"
"Barlak"
"Barlik"
"Barlo"
"Barloch"
"Barlog"
"Barlok"
"Barlyak"
"Barna"
"Barnack"
"Barnak"
"Barnet"
"Barnosky"
"Barnova"
"Barnovsky"
"Barnowsi"
"Barola"
"Baron"
"Baronek"
"Barosko"
"Barowsky"
"Barta"
"Bartak"
"Bartal"
"Barteck"
"Bartek"
"Bartel"
"Bartell"
"Bartko"
"Bartkovsky"
"Bartkowsky"
"Barto"
"Bartok"
"Barton"
"Bartos"
