"Aadan"
"Aato"
"Abade"
"Abdalla"
"Abdalle"
"Abdi"
"Abdillahi"
"Abdulghani"
"Abdullahi"
"Abdulle"
"Abrar"
"Absie"
"Adam"
"Addin"
"Addow"
"Adeer"
"Adnan"
"Afrah"
"Agil"
"Ahmed"
"Aidiid"
"Aljabarti"
"Aqil"
"Arawelo"
"Arman"
"Ashareh"
"Askar"
"Aware"
"Aweys"
"Axmed"
"Barre"
"Barsane"
"Bihi"
"Bileh"
"Bille"
"Canadians"
"Casowe"
"Cawil"
"Caydiid"
"Cigal"
"Cisman"
"Daar"
"Dable"
"Dahir"
"Dalmar"
"Daud"
"Dhahar"
"Dheel"
"Dhidhin"
"Dinle"
"Dirie"
"Dobira"
"Duale"
"Dufle"
"Egal"
"Ellyas"
"Elman"
"Elmi"
"Fadil"
"Faqi"
"Farah"
"Faratag"
"Farhan"
"Faroole"
"Feisal"
"Feysal"
"Gadid"
"Galaid"
"Galal"
"Galaydh"
"Gale"
"Gallardi"
"Gallat"
"Ghedi"
"Guled"
"Gullet"
"Gure"
"Hadrawi"
"Haji"
"Hajifaqi"
"Hajimumin"
"Halane"
"Hanad"
"Handule"
"Hashi"
"Hassan"
"Hawar"
"Hirsi"
"Hudeydi"
"Hurre"
"Hussein"
"Hussen"
"Ibrahim"
"Iman"
"Imran"
"Irro"
"Islam"
"Ismael"
"Ismail"
"Issa"
"Isse"
"Jama"
"Jamac"
"Jawari"
"Jibrell"
"Jibril"
"Jimale"
"Kaahin"
"Kaar"
"Kaddare"
"Kader"
"Kenadid"
"Khalid"
"Khalif"
"Koor"
"Koshin"
"Kusow"
"Liban"
"Liqliiqato"
"Luqman"
"Maalim"
"Maalin"
"Maanta"
"Maaytey"
"Mahad"
"Mahamud"
"Mahamuud"
"Mahdi"
"Malimey"
"Maslah"
"Massale"
"Maxamed"
"Mead"
"Mire"
"Moalim"
"Mogadishu"
"Mohamed"
"Mohammed"
"Mohamoud"
"Mungab"
"Muse"
"Nalayeh"
"Nasser"
"Noor"
"Nur"
"Nuur"
"Olol"
"Omaar"
"Omar"
"Omer"
"Osman"
"Qaasim"
"Qassim"
"Rage"
"Rahim"
"Raygal"
"Roble"
"Sabriye"
"Sadiq"
"Saeed"
"Said"
"Salaad"
"Salah"
"Salax"
"Salem"
"Samaale"
"Samatar"
"Sharif"
"Sharmake"
"Sharmarke"
"Sherissa"
"Shermarke"
"Shirdon"
"Shire"
"Shirwa"
"Shirwac"
"Siad"
"Silanyo"
"Sonari"
"Sufi"
"Suleiman"
"Suleman"
"Tako"
"Tuur"
"Waldo"
"Waraabe"
"Warabe"
"Warsame"
"Xaabsade"
"Yabarow"
"Yamyam"
"Yasin"
"Yonis"
"Yussuf"
"Yusuf"
"Zakaria"
