"Abacan"
"Abad"
"Abaday"
"Abalahin"
"Abao"
"Abat"
"Abay"
"Abaya"
"Abayan"
"Abayari"
"Abaygar"
"Abe"
"Abella"
"Abeya"
"Abiad"
"Abinsay"
"Abiog"
"Ablang"
"Ablasa"
"Ablog"
"Abog"
"Aboitiz"
"Abracosa"
"Abreo"
"Abrogar"
"Abuan"
"Abucajo"
"Abucay"
"Abueg"
"Abulog"
"Abut"
"Abutin"
"Abuyen"
"Acas"
"Acda"
"Acebedo"
"Acevedo"
"Aclan"
"Acob"
"Acolola"
"Acop"
"Acosta"
"Acot"
"Acpal"
"Acuesta"
"Acupan"
"Adapon"
"Aday"
"Adlao"
"Adlawan"
"Adoc"
"Africa"
"Afuyog"
"Agam"
"Agamata"
"Aganad"
"Agapito"
"Agarpao"
"Agas"
"Agatep"
"Agati"
"Agatol"
"Agawin"
"Agbannaoag"
"Agbay"
"Agbayani"
"Agbisit"
"Agbulos"
"Agbuya"
"Agcamaran"
"Agcambot"
"Agcaoili"
"Agdamag"
"Agdeppa"
"Agdinaoay"
"Aggabao"
"Aglibut"
"Aglipay"
"Agngarayngay"
"Agonoy"
"Agpalo"
"Agpaoa"
"Agpoon"
"Agsalog"
"Agsalon"
"Agsalud"
"Agtaguem"
"Agtarap"
"Agtutubo"
"Agudo"
"Aguilar"
"Aguiling"
"Aguimbag"
"Aguimmatang"
"Aguirre"
"Agumabay"
"Agumbay"
"Agunod"
"Agup"
"Agustin"
"Ahkiong"
"Akiaten"
"Akut"
"Alalay"
"Alambat"
"Alampay"
"Alanunay"
"Alao"
"Alasaas"
"Alayay"
"Albalos"
"Alcabasa"
"Alcantar"
"Alcantara"
"Alcaparlas"
"Alcaraz"
"Alcazar"
"Alconcel"
"Alday"
"Alderite"
"Alejandro"
"Alferez"
"Alibin"
"Alicante"
"Alicbusan"
"Aligmayo"
"Alikpala"
"Aliling"
"Alimboyugen"
"Alimurung"
"Alindogan"
"Alingog"
"Alinsangan"
"Alipio"
"Alitagtag"
"Allanic"
"Almazan"
"Almeda"
"Alnas"
"Alon"
"Alonto"
"Alonzo"
"Alpay"
"Alujipan"
"Alumisin"
"Alunan"
"Alupay"
"Alvarez"
"Alvaro"
"Amaba"
"Amador"
"Amahit"
"Amaming"
"Amaranto"
"Ambagan"
"Ambat"
"Ambayon"
"Amboy"
"Ambriz"
"Ambrosio"
"Ambulo"
"Amicay"
"Amiling"
"Amit"
"Ammog"
"Amora"
"Amosin"
"Amoyo"
"Ampalayon"
"Ampang"
"Ampig"
"Ampil"
"Ampon"
"Ampongan"
"Amulong"
"Amurao"
"Anacleto"
"Ancatan"
"Ancaya"
"Ancheta"
"Andal"
"Andaya"
"Andrada"
"Andrade"
"Angara"
"Angat"
"Angobung"
"Angping"
"Angus"
"Aniag"
"Aningalan"
"Annala"
"Antalan"
"Antonio"
"Anub"
"Anyog"
"Aoanan"
"Apan"
"Apanapao"
"Apanay"
"Apayor"
"Apdal"
"Apelin"
"Apigo"
"Apili"
"Aplaon"
"Apoga"
"Apoian"
"Aporongao"
"Aquino"
"Arabejo"
"Aragon"
"Aragones"
"Arai"
"Aransazo"
"Arao"
"Arauag"
"Araw"
"Arboleda"
"Arcilla"
"Ares"
"Armas"
"Aro"
"Aromin"
"Arong"
"Arrogante"
"Arroyo"
"Artesano"
"Asoy"
"Asuncion"
"Aswit"
"Atabay"
"Atangan"
"Atay"
"Ato"
"Atok"
"Ausan"
"Austria"
"Auza"
"Awa"
"Awitan"
"Ayaay"
"Ayala"
"Ayran"
"Ayson"
"Ayuman"
"Ayuyang"
"Ayuyao"
"Azarcon"
"Baad"
"Baal"
"Baang"
"Babalato"
"Babao"
"Babasa"
"Babaylan"
"Babia"
"Babingao"
"Bables"
"Baboyan"
"Bacad"
"Bacani"
"Bacay"
"Bacaycay"
"Baccay"
"Baclao"
"Baclayan"
"Baclig"
"Bacolor"
"Bacotot"
"Bactad"
"Bacunawa"
"Badabgio"
"Badar"
"Baddas"
"Badjao"
"Bael"
"Baga"
"Bagadiong"
"Bagain"
"Bagala"
"Bagalayos"
"Bagaman"
"Bagang"
"Bagaoisan"
"Bagarinao"
"Bagasao"
"Bagasbas"
"Bagay"
"Bagayan"
"Bagnol"
"Bagongarao"
"Bagonggahasa"
"Bagoyo"
"Bagsic"
"Bagsit"
"Bagtas"
"Bague"
"Baguio"
"Bahaghari"
"Bahande"
"Bahena"
"Baidingo"
"Baisac"
"Baitan"
"Baje"
"Bakaranis"
"Balaba"
"Balabagan"
"Balabis"
"Balaga"
"Balagot"
"Balagtas"
"Balaguer"
"Balamut"
"Balana"
"Balandra"
"Balane"
"Balanga"
"Balangatan"
"Balangue"
"Balani"
"Balanon"
"Balantakbo"
"Balaoing"
"Balason"
"Balata"
"Balatazo"
"Balatbat"
"Balatibat"
"Balatico"
"Balbiran"
"Baldedara"
"Balgos"
"Baliad"
"Baliao"
"Baligad"
