"Abbey"
"Abbott"
"Abdulla"
"Abels"
"Abenthum"
"Abercombie"
"Abrahams"
"Abrie"
"Achermann"
"Achterberg"
"Ackermann"
"Ackhurst"
"Adam"
"Adams"
"Adamson"
"Adcock"
"Addinall"
"Addis"
"Addison"
"Adendorff"
"Adkins"
"Adlam"
"Adlem"
"Adlington"
"Adonis"
"Adriaan"
"Adriaanse"
"Adriaanze"
"Afrique"
"Agenbag"
"Ageson"
"Ahlers"
"Ahnelt"
"Ahrens"
"Aikman"
"Ainscough"
"Ainsley"
"Ainslie"
"Aitchison"
"Aitken"
"Akerman"
"Alabaster"
"Aland"
"Alandt"
"Alant"
"Albany"
"Albasini"
"Albertus"
"Albertyn"
"Alborough"
"Albrecht"
"Alchin"
"Alcock"
"Aldendorff"
"Aldred"
"Aldridge"
"Aldroft"
"Aldworth"
"Aletta"
"Alexander"
"Alkin"
"Allanby"
"Allchin"
"Allen"
"Allers"
"Allerston"
"Allin"
"Allison"
"Allnatt"
"Allsop"
"Alman"
"Alperstein"
"Alston"
"Altern"
"Altona"
"Ambler"
"Amdur"
"Amm"
"Amod"
"Andel"
"Anderhold"
"Anderholt"
"Anders"
"Andersen"
"Anderson"
"Anderssen"
"Anderton"
"Andrewartha"
"Andries"
"Annan"
"Annandale"
"Annear"
"Annesley"
"Ansell"
"Ansley"
"Anson"
"Ansquer"
"Anthony"
"Antonus"
"Appel"
"Appelgryn"
"Appleby"
"Applegate"
"Aproski"
"Ardendorf"
"Arderne"
"Arendse"
"Argyle"
"Arkcoll"
"Arlow"
"Armstrong"
"Arnal"
"Arneil"
"Arnesen"
"Arnison"
"Arnold"
"Arpin"
"Arrow"
"Artz"
"Arundel"
"Aschman"
"Ashbury"
"Asher"
"Ashley"
"Ashton"
"Aspeling"
"Astle"
"Atherstone"
"Atkinson"
"Atterbury"
"Attridge"
"Attwell"
"Attwood"
"Atwell"
"Aucamp"
"Auchamps"
"Auckland"
"Audie"
"Auguste"
"Augustino"
"Auld"
"Aulfes"
"Auliff"
"Aulsebrook"
"Auret"
"Aussenhofer"
"Ausserhoffer"
"Austen"
"Austin"
"Auths"
"Aveling"
"Avermaete"
"Aves"
"Avontuur"
"Awerbach"
"Axel"
"Axsel"
"Ayliff"
"Aynsley"
"Azzie"
"Baard"
"Baartzes"
"Back"
"Backeberg"
"Bacon"
"Badcock"
"Baddeley"
"Badenhorst"
"Baderoen"
"Badersbach"
"Badier"
"Badman"
"Baehr"
"Bagg"
"Bagot"
"Baikie"
"Bailey"
"Bailie"
"Baillie"
"Bain"
"Bainbridge"
"Baines"
"Bains"
"Baird"
"Bakeberg"
"Baker"
"Bakker"
"Bakkes"
"Balakistan"
"Baldwin"
"Bale"
"Bales"
"Balfour"
"Ballantyne"
"Ballot"
"Baloyi"
"Balt"
"Bam"
"Bambatha"
"Bambury"
"Bamford"
"Bance"
"Bancroft"
"Bands"
"Bang"
"Banks"
"Bann"
"Bannatyne"
"Bannerman"
"Bannink"
"Bapty"
"Baragwanath"
"Barbour"
"Barckhausen"
"Barends"
"Bark"
"Barker"
"Barkhuizen"
"Barkley"
"Barnard"
"Barnes"
"Barnet"
"Barnfather"
"Barnsley"
"Barnwell"
"Barr"
"Barrable"
"Barras"
"Barratt"
"Barraud"
"Barret"
"Barrett"
"Barron"
"Barry"
"Bartels"
"Bartes"
"Bartleson"
"Bartlett"
"Barton"
"Bass"
"Basson"
"Bastin"
"Bate"
"Bateman"
"Batenhorst"
"Bath"
"Batho"
"Batstone"
"Batten"
"Batts"
"Bauemeister"
"Bauer"
"Bauermeister"
"Baumgardt"
"Baumgarten"
"Baxter"
"Baylis"
"Bayly"
"Baynes"
"Bazar"
"Beament"
"Beard"
"Beardmore"
"Beasley"
"Beat"
"Beaton"
"Beatt"
"Beattie"
"Beaubois"
"Beaucou"
"Beauzec"
"Beavon"
"Bechtold"
"Beck"
"Beckett"
"Beckwith"
"Beddoes"
"Beebe"
"Beeby"
"Beelders"
"Beetge"
"Beets"
"Beevor"
"Begemann"
"Behan"
"Behndy"
"Behr"
"Behrens"
"Behrmann"
"Beiles"
"Bekker"
"Bekkers"
"Belinfante"
"Bell"
"Bellamy"
"Belling"
"Bellotte"
"Belstead"
"Benade"
"Benadie"
"Bendall"
"Bender"
"Bendt"
"Beneke"
"Beningfield"
"Benjamin"
"Benn"
"Bennett"
"Bennie"
"Bense"
"Benskin"
"Benson"
"Bentley"
"Bergemann"
"Berger"
"Bergh"
"Bergman"
"Bergtheil"
"Berkman"
"Berning"
"Berrange"
"Berrie"
"Berrigton"
"Berriman"
"Berrington"
"Berry"
"Berthelsen"
"Best"
"Bestbier"
"Bester"
"Bestier"
"Beswick"
"Bettinson"
"Beukes"
"Bevan"
"Beyers"
"Beyleveld"
"Beytel"
"Beytell"
"Bezance"
"Bezuidenhout"
"Bhana"
"Bhengu"
"Bickley"
"Biddington"
"Biddulph"
"Biel"
"Bieldt"
"Bienedell"
"Bierman"
"Biggs"
"Bihl"
"Biko"
"Billes"
"Billett"
"Billson"
"Bilson"
"Bimray"
"Bingham"
"Bingle"
"Binks"
"Binnedell"
"Birch"
"Bird"
"Birk"
"Birkbeck"
"Birkett"
"Birks"
"Bishop"
"Bisschoff"
"Bista"
"Blaauw"
"Black"
"Blackbeard"
"Blackburn"
"Blacker"
"Blackie"
"Blain"
"Blaine"
"Blake"
"Blakeman"
"Blakemore"
"Blakey"
"Blamey"
"Blandy"
"Blane"
"Blatt"
"Blayi"
"Bleeker"
"Bleske"
"Blight"
"Blignault"
"Blignaut"
"Bloch"
"Bloem"
"Bloemhof"
"Blom"
"Blomkamp"
"Blount"
"Bloy"
"Blume"
"Blumeris"
"Blunden"
"Blyth"
"Blythe"
"Board"
"Boardman"
"Bock"
"Bockelenberg"
"Bockhart"
"Bodenstein"
"Bodington"
"Boehmer"
"Boeiens"
"Boesak"
"Boesmaan"
"Boezaart"
"Bogeholtz"
"Boggenpoel"
"Bohler"
"Bohlitho"
"Bohmer"
"Bohmke"
"Boje"
"Bok"
"Bokwe"
"Bolitho"
"Bollingham"
"Bolt"
"Bolton"
"Bonafede"
"Bond"
"Bone"
"Bonnin"
"Booi"
"Booms"
"Boon"
"Boone"
"Boonzaaier"
"Boonzaier"
"Booth"
"Boothby"
"Booyens"
"Booyjens"
"Booyse"
"Booysen"
"Bopape"
"Bopela"
"Borland"
"Bornman"
"Borstlap"
"Borthwick"
"Bosch"
"Boshielo"
"Boshof"
"Boshoff"
"Bosman"
"Boss"
"Bossenger"
"Bossert"
"Boswarva"
"Boswell"
"Botes"
"Botha"
"Bothma"
"Botma"
"Bottcher"
"Boucher"
"Bounds"
"Bourhill"
"Boustred"
"Bouttell"
"Bouwer"
"Bouwers"
"Bovey"
"Bower"
"Bowes"
"Bowker"
"Bowles"
"Bowley"
"Bowmaker"
"Bowman"
"Box"
"Boxall"
"Boyd"
"Boyley"
"Boyne"
"Braaf"
"Bradfield"
"Brading"
"Bradshaw"
"Brady"
"Bragge"
"Braidwood"
"Braithwaite"
"Bramley"
"Bramwell"
"Branagan"
"Brand"
"Brandt"
"Brannigan"
"Bransky"
"Branson"
"Brathwaite"
"Brauer"
"Braun"
"Braunschweig"
"Brazelle"
"Bredekamp"
"Bredel"
"Bredenkamp"
"Breed"
"Breedenkamp"
"Breedt"
"Breek"
"Breen"
"Breetzke"
"Breitenbach"
"Bremner"
"Bremridge"
"Brent"
"Brentley"
"Brentnall"
"Bresler"
"Brett"
"Brewer"
"Brewis"
"Brewitt"
"Breytenbach"
"Brickhill"
"Briedenhann"
"Briell"
"Briggs"
"Bright"
"Brill"
"Brillianso"
"Brimacombe"
"Brink"
"Brissenden"
"Britnell"
"Brits"
"Britten"
"Brittle"
"Britz"
"Broad"
"Broadley"
"Broadway"
"Brock"
"Brockett"
"Brockman"
"Broderick"
"Brodie"
"Broedelet"
"Brokensha"
"Bromfield"
"Bronkhorst"
"Bronn"
"Broodryk"
"Brookstein"
"Brophy"
"Brosnan"
"Broughton"
"Brown"
"Brownbill"
"Browne"
"Brownlee"
"Brownlie"
"Bruce"
"Bruckshaw"
"Brukman"
"Brummer"
"Brune"
"Brunette"
"Brunt"
"Brussow"
"Bruton"
"Bryant"
"Bryson"
"Bubb"
"Buchanan"
"Buchannan"
"Buchholz"
"Bucholz"
"Buck"
"Buckland"
"Buckle"
"Buckley"
"Bucknall"
"Budd"
"Buddulph"
"Budge"
"Buhrman"
"Buissinne"
"Buitendach"
"Buitendag"
"Bukes"
"Bulchas"
"Bull"
"Burden"
"Burdon"
"Burg"
"Burger"
"Burgess"
"Burmeister"
"Burnard"
"Burness"
"Burnett"
"Burnie"
"Burrow"
"Burrows"
"Bursey"
"Burtles"
"Burton"
"Busby"
"Busch"
"Bushnell"
"Buss"
"Butcher"
"Buterin"
"Buthelezi"
"Butler"
"Butlin"
"Butt"
"Butterworth"
"Button"
"Buys"
"Buytendag"
"Byerley"
"Bygraves"
"Byleveld"
"Byleveldt"
"Byrne"
"Cachalia"
"Cadle"
"Cahill"
"Cail"
"Cain"
"Caine"
"Cairns"
"Calata"
"Calder"
"Caley"
"Calis"
"Calitz"
"Callaghan"
"Callard"
"Callaway"
"Calloway"
"Calmeyer"
"Calverley"
"Calvert"
"Cambell"
"Camberg"
"Came"
"Camm"
"Campbell"
"Campher"
"Canham"
"Canniford"
"Canning"
"Cannon"
"Canteloe"
"Carelse"
"Carlisle"
"Carlsson"
"Carmichael"
"Carney"
"Carnie"
"Carpenter"
"Carr"
"Carrick"
"Carrie"
"Carroll"
"Carruthers"
"Carse"
"Carstens"
"Carter"
"Cartwright"
"Carver"
"Cary"
"Casey"
"Cason"
"Casper"
"Cass"
"Cassim"
"Catell"
"Cattle"
"Cavanaugh"
"Cave"
"Cavie"
"Cawcutt"
"Cawood"
"Cawthorn"
"Cayeaux"
"Caywood"
"Cebekhulu"
"Cecil"
"Cedras"
"Cele"
"Cellarius"
"Cerff"
"Ceronio"
"Chadinha"
"Chadwick"
"Chaffey"
"Chait"
"Chaitowitz"
"Chalmers"
"Chamberlain"
"Chambers"
"Chandler"
"Chaness"
"Chaplin"
"Chapman"
"Chard"
"Charles"
"Charmaine"
"Charrosin"
"Chase"
"Cheadle"
"Cheetham"
"Cheney"
"Cherrington"
"Cherry"
"Chetty"
"Chiassaro"
"Chiazzari"
"Chick"
"Chilcott"
"Childs"
"Chimes"
"Chin"
"Chipp"
"Chippendale"
"Chisholm"
"Chislett"
"Chittenden"
"Choene"
"Choles"
"Cholwich"
"Cholwick"
"Chomse"
"Chosane"
"Chowles"
"Christ"
"Christian"
"Christianni"
"Christie"
"Christopher"
"Church"
"Churchill"
"Cillie"
"Cillier"
"Cilliers"
"Cinammon"
"Claase"
"Claasen"
"Claasens"
"Claassen"
"Claassens"
"Clack"
"Clairstrom"
"Clarence"
"Clark"
"Clarke"
"Clarkson"
"Classen"
"Clausen"
"Claussen"
"Claxton"
"Clayson"
"Clayton"
"Clegg"
"Clement"
"Cleminshaw"
"Clemitson"
"Clemments"
"Clewlow"
"Cliffe"
"Clifton"
"Clinch"
"Clinton"
"Cloete"
"Clucas"
"Clunie"
"Coates"
"Coburn"
"Cochrane"
"Cockburn"
"Cockcroft"
"Cockerell"
"Cockrell"
"Cocks"
"Coe"
"Coenradie"
"Coertse"
"Coertsen"
"Coertze"
"Coertzen"
"Coetsee"
"Coetser"
"Coetze"
"Coetzee"
"Coetzer"
"Cogan"
"Coghill"
"Coha"
"Cohen"
"Colbourne"
"Cole"
"Coleman"
"Colenbrander"
"Coles"
"Collender"
"Collett"
"Colley"
"Collier"
"Colling"
"Collingwood"
"Collins"
"Collop"
"Colpeper"
"Colson"
"Colwell"
"Colyn"
"Combrinck"
"Combrink"
"Comrie"
"Comyn"
"Conn"
"Connaway"
"Connock"
"Connon"
"Connor"
"Connors"
"Conradi"
"Conradie"
"Conway"
"Conybear"
"Cook"
"Cooke"
"Cookley"
"Cookson"
"Coomand"
"Coomans"
"Coomber"
"Coombes"
"Coombs"
"Cooney"
"Cooper"
"Coote"
"Copas"
"Cope"
"Copeland"
"Coppola"
"Corbishley"
"Corby"
"Corchard"
"Cordier"
"Coreejes"
"Corker"
"Cornberg"
"Cornelia"
"Cornelius"
"Correia"
"Corrigan"
"Corson"
"Corver"
"Cory"
"Cosnett"
"Cottam"
"Cottle"
"Couling"
"Coulson"
"Counihan"
"Court"
"Cousens"
"Cousins"
"Couteau"
"Couvert"
"Covel"
"Covele"
"Coveley"
"Covell"
"Covelle"
"Coventry"
"Cowan"
"Cowie"
"Cowley"
"Cowsert"
"Cox"
"Coxen"
"Crabb"
"Craddock"
"Crafford"
"Craft"
"Craig"
"Craigie"
"Craik"
"Cramer"
"Crampton"
"Cramwinkel"
"Cranley"
"Cranswick"
"Crause"
"Crawford"
"Crawley"
"Creagh"
"Cree"
"Creed"
"Creighton"
"Cremer"
"Cressey"
"Cressy"
"Creux"
"Crew"
"Crewe"
"Crickmore"
"Crighton"
"Crocker"
"Croft"
"Crofton"
"Crole"
"Crolidge"
"Crompton"
"Cronje"
"Crook"
"Crooke"
"Cross"
"Crossland"
"Crossman"
"Crouch"
"Croukamp"
"Crous"
"Crouse"
"Crow"
"Crowder"
"Crowley"
"Crowsen"
"Crowther"
"Croydon"
"Crozier"
"Crutchfield"
"Crystall"
"Cubitt"
"Cudlipp"
"Cullinan"
"Culpeper"
"Cumming"
"Cunningham"
"Cupido"
"Curd"
"Curle"
"Curnow"
"Curran"
"Currey"
"Currie"
"Currin"
"Curror"
"Curston"
"Curtis"
"Cusens"
"Cuthbert"
"Cutler"
"Cuyler"
"Cyrus"
"Daames"
"Dabbadie"
"Dabreton"
"Dadoo"
"Dadswell"
"Dafonseca"
"Daglish"
"Dahms"
"Dale"
"Daley"
"Dalhouzie"
"Dalton"
"Daly"
"Damant"
"Damons"
"Dampier"
"Dandridge"
"Dangelo"
"Daniel"
"Daniels"
"Dannhauser"
"Darcy"
"Daries"
"Darkow"
"Darnell"
"Dasheka"
"Dashwood"
"Daubermann"
"Dauth"
"Davel"
"Davey"
"Davids"
"Davies"
"Davy"
"Dawkins"
"Dawood"
"Dawson"
"Daya"
"Deaar"
"Deacon"
"Deale"
"Dearham"
"Deas"
"Deavall"
"Debeer"
"Debrissac"
"Debroise"
"Debroize"
"Debruijn"
"Debruin"
"Debruyn"
"Deburgh"
"Declerck"
"Declercq"
"Dedekind"
"Dednam"
"Deering"
"Deetlefs"
"Deewes"
"Degenaar"
"Dehlen"
"Dejager"
"Dejonge"
"Dejongh"
"Dekker"
"Deklerk"
"Dekock"
"Dekoker"
"Delaharpe"
"Delahunt"
"Delange"
"Delaporte"
"Delarey"
"Delfava"
"Dell"
"Delport"
"Demarillac"
"Dembskey"
"Dembsky"
"Demeillon"
"Demink"
"Dempster"
"Denaught"
"Denicker"
"Denner"
"Dennis"
"Dent"
"Denton"
"Denysschen"
"Depace"
"Depradines"
"Dereuck"
"Deridder"
"Derry"
"Deru"
"Desai"
"Descally"
"Desfountain"
"Deswardt"
"Dettmar"
"Devantier"
"Develing"
"Devenish"
"Devilliers"
"Devine"
"Devos"
"Devries"
"Dewaal"
"Dewet"
"Dewhite"
"Dewilzem"
"Dewinnaar"
"Dewit"
"Dewitt"
"Deysel"
"Deyzel"
"Dhlamini"
"Dickason"
"Dickens"
"Dickerson"
"Dickson"
"Diederichs"
"Diedericks"
"Diedrick"
"Diehl"
"Diemel"
"Diemont"
"Diesel"
"Dietrich"
"Diffenthal"
"Dingake"
"Dingane"
"Dinsdale"
"Dippenaar"
"Dixon"
"Dladla"
"Dlamini"
"Dodds"
"Dodson"
"Doemski"
"Doernbrack"
"Doig"
"Dold"
"Dollenberg"
"Dollie"
"Doman"
"Donald"
"Donoghue"
"Donovan"
"Doremus"
"Dorfling"
"Dorrington"
"Doubell"
"Doughty"
"Dowling"
"Down"
"Downton"
"Doyle"
"Dredge"
