"Abadesso"
"Abadito"
"Abalada"
"Abalroado"
"Abdula"
"Abecassis"
"Abela"
"Abeleira"
"Abelho"
"Abilhao"
"Abilio"
"Abito"
"Abranches"
"Abrantes"
"Abrao"
"Abraul"
"Abrega"
"Abreu"
"Abril"
"Abrino"
"Abronheiro"
"Abrunheiro"
"Abrunhosa"
"Abudo"
"Acacio"
"Acafrao"
"Achada"
"Achando"
"Achas"
"Achilles"
"Acosta"
"Acuna"
"Acurcio"
"Adaes"
"Adaixo"
"Adao"
"Adelia"
"Adelina"
"Adelino"
"Adem"
"Adevides"
"Adevinha"
"Adolfo"
"Adones"
"Adonis"
"Adrega"
"Adriano"
"Adriao"
"Adro"
"Adubeir"
"Afecto"
"Afonso"
"Afra"
"Africana"
"Africano"
"Agante"
"Agapito"
"Agasalho"
"Agatao"
"Agnelo"
"Agnoli"
"Agonia"
"Agostinha"
"Agostinho"
"Agra"
"Agre"
"Agreira"
"Agrela"
"Agria"
"Agro"
"Agua"
"Aguas"
"Aguiar"
"Aguilar"
"Aguinha"
"Agulha"
"Aibeo"
"Aidos"
"Aio"
"Aires"
"Airoso"
"Ajuda"
"Ala"
"Alago"
"Alamo"
"Alanis"
"Alarcao"
"Alavedra"
"Albano"
"Albarinho"
"Albarino"
"Albarran"
"Albazini"
"Albergaria"
"Albernas"
"Albernaz"
"Albertina"
"Albertino"
"Alberto"
"Alberty"
"Albino"
"Albreto"
"Albuquerque"
"Alcaide"
"Alcaire"
"Alcantara"
"Alcaso"
"Alceo"
"Alceu"
"Alcide"
"Alcides"
"Alcino"
"Alcobasa"
"Alcobia"
"Alcoforado"
"Alda"
"Aldair"
"Aldeao"
"Aldegalega"
"Aldeia"
"Alecrim"
"Alegre"
"Alegrete"
"Alegria"
"Alegrio"
"Aleixo"
"Aleluia"
"Alemao"
"Alendouro"
"Alensoao"
"Alentisca"
"Alexadre"
"Alexandre"
"Alexandrina"
"Alexandrino"
"Alface"
"Alfafar"
"Alfaiataria"
"Alfaiate"
"Alfar"
"Alfarela"
"Alfaro"
"Alferes"
"Alfoto"
"Alfredo"
"Algarvio"
"Alhau"
"Alho"
"Alice"
"Alipia"
"Alipio"
"Almada"
"Almaral"
"Almas"
"Almeda"
"Almeida"
"Almeirao"
"Almodovar"
"Alonso"
"Alpande"
"Alpendre"
"Alpoim"
"Alquim"
"Alsada"
"Alto"
"Aluminios"
"Alva"
"Alvadia"
"Alvarenga"
"Alvares"
"Alvarez"
"Alvarinhas"
"Alvarinho"
"Alvaro"
"Alvelos"
"Alveolos"
"Alverca"
"Alvernaz"
"Alves"
"Alvim"
"Alvito"
"Alvoeiro"
"Alvorge"
"Alzira"
"Amada"
"Amado"
"Amador"
"Amante"
"Amara"
"Amaral"
"Amaro"
"Ambrosio"
"Ameal"
"Ameixa"
"Ameixoeira"
"Ameixoeiro"
"Amelia"
"Amial"
"Amieira"
"Amieiro"
"Amilcar"
"Amimo"
"Amoedo"
"Amor"
"Amora"
"Amoreira"
"Amores"
"Amorim"
"Amoroso"
"Amorouco"
"Amorousso"
"Amparo"
"Amuedo"
"Ana"
"Anacleto"
"Anadio"
"Anaquim"
"Anastasio"
"Anaya"
"Anca"
"Ancelmo"
"Anceris"
"Anceriz"
"Anciaes"
"Andorinha"
"Andrada"
"Andrade"
"Andre"
"Andrino"
"Anes"
"Angelica"
"Angelo"
"Anguelova"
"Anibal"
"Anica"
"Aniceto"
"Anjos"
"Anselmo"
"Antao"
"Antas"
"Antoes"
"Antonia"
"Antoninho"
"Antonio"
"Antunes"
"Anunciasao"
"Anzures"
"Aparicio"
"Aperta"
"Apolinar"
"Apolinario"
"Aponte"
"Apostolo"
"Aqueu"
"Aquino"
"Aradeiras"
"Aragao"
"Aranha"
"Araujo"
"Araullo"
"Arcanjo"
"Arcao"
"Arcos"
"Arcozelo"
"Arderios"
"Arderius"
"Arede"
"Areia"
"Areias"
"Arelo"
"Arenga"
"Areosa"
"Aresta"
"Areu"
"Arezes"
"Argel"
"Argentino"
"Arias"
"Arif"
"Arinto"
"Arlindo"
"Armando"
"Armao"
"Armeiro"
"Armelao"
"Arminda"
"Armindo"
"Arnaldo"
"Arnaud"
"Arnaut"
"Arneiro"
"Arnos"
"Arocha"
"Aroso"
"Arouca"
"Arraiano"
"Arraiolos"
"Arrais"
"Arreiano"
"Arrenegado"
"Arriaga"
"Arribanca"
"Arriegas"
"Arrifano"
"Arrimar"
"Arrobas"
"Arrojado"
"Arromba"
"Arroteia"
"Arroz"
"Arruda"
"Arrulo"
"Arsenio"
"Artiaga"
"Artilheiro"
"Artur"
"Arvelo"
"Arvelos"
"Arzileiro"
"Ascencao"
"Ascenso"
"Asenco"
"Aspesada"
"Assafrao"
"Assalino"
"Asseiro"
"Assena"
"Assis"
"Assoreia"
"Assuncao"
"Assunsao"
"Atafona"
"Ataide"
"Atanasio"
"Atilano"
"Augusta"
"Augusto"
"Aureliano"
"Aurelio"
"Aveiro"
"Avelar"
"Avelas"
"Aveleira"
"Aveleiro"
"Avelez"
"Avelino"
"Avidago"
"Avila"
"Avilla"
"Avilo"
"Avis"
"Avoes"
"Azedo"
"Azeiteiro"
"Azeitona"
"Azeje"
"Azenha"
"Azevedo"
"Azevo"
"Aziago"
"Azinhaga"
"Azinhais"
"Azinheira"
"Azinheiro"
"Azocar"
"Azoia"
"Azola"
"Azul"
"Babo"
"Bacalhau"
"Bacao"
"Bacelar"
"Bacelo"
"Bacharel"
"Baco"
"Bada"
"Badana"
"Badim"
"Baeta"
"Baetas"
"Bagagem"
"Baganha"
"Bagao"
"Bagina"
"Bagulho"
"Baia"
"Baiam"
"Baiano"
"Baiao"
"Baila"
"Baio"
